"Domain","CCO","CTH","EMA","EMU","PFO","SCA","ZRA","Method","Total"
"TMEM18",NA,NA,1,NA,1,1,NA,"Pfam",3
"Terpene_syn_C_2",NA,NA,1,NA,1,1,1,"Pfam",4
"tRNA_int_endo_N",NA,NA,1,NA,1,1,1,"Pfam",4
"zf-RRN7",NA,NA,1,NA,NA,1,NA,"Pfam",2
"3-PAP",NA,NA,NA,NA,1,1,NA,"Pfam",2
"4HB",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"4_1_CTD",NA,NA,NA,NA,1,1,NA,"Pfam",2
"7TM_GPCR_Srbc",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"7TM_GPCR_Srsx",NA,NA,NA,NA,1,1,NA,"Pfam",2
"7TM_GPCR_Srw",NA,NA,NA,NA,1,1,NA,"Pfam",2
"7TM_GPCR_Srx",NA,NA,NA,NA,1,1,NA,"Pfam",2
"7tm_2",NA,NA,NA,NA,1,1,NA,"Pfam",2
"7tm_3",NA,NA,NA,NA,1,1,NA,"Pfam",2
"7tm_4",NA,NA,NA,NA,1,1,NA,"Pfam",2
"7tm_6",NA,NA,NA,NA,1,1,NA,"Pfam",2
"7tm_7",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"8TM_micro",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"A2M",NA,NA,NA,NA,1,1,NA,"Pfam",2
"A2M_BRD",NA,NA,NA,NA,1,1,NA,"Pfam",2
"A2M_recep",NA,NA,NA,NA,1,1,NA,"Pfam",2
"AAA_28",NA,NA,NA,NA,1,1,NA,"Pfam",2
"AAA_PrkA",NA,NA,NA,NA,1,1,1,"Pfam",3
"AAT",NA,NA,NA,NA,1,1,NA,"Pfam",2
"ABC2_membrane_2",NA,NA,NA,NA,1,1,NA,"Pfam",2
"ABC2_membrane_3",NA,NA,NA,NA,1,1,NA,"Pfam",2
"ABHD18",NA,NA,NA,NA,1,1,NA,"Pfam",2
"AC_N",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"ADAM17_MPD",NA,NA,NA,NA,1,1,NA,"Pfam",2
"ADAMTS_CR_2",NA,NA,NA,NA,1,1,NA,"Pfam",2
"ADAMTS_CR_3",NA,NA,NA,NA,1,1,NA,"Pfam",2
"ADAMTS_spacer1",NA,NA,NA,NA,1,1,NA,"Pfam",2
"ADAM_CR",NA,NA,NA,NA,1,1,NA,"Pfam",2
"ADD_ATRX",NA,NA,NA,NA,1,1,NA,"Pfam",2
"ADP_PFK_GK",NA,NA,NA,NA,1,1,NA,"Pfam",2
"ADP_ribosyl_GH",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"AF-4",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"AF-4_C",NA,NA,NA,NA,1,1,NA,"Pfam",2
"AGK_C",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"AGTRAP",NA,NA,NA,NA,1,1,NA,"Pfam",2
"AHD",NA,NA,NA,NA,1,1,NA,"Pfam",2
"AIG1",NA,NA,NA,NA,1,NA,1,"Pfam",2
"AKAP2_C",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"ALMS_motif",NA,NA,NA,NA,1,1,NA,"Pfam",2
"AMOP",NA,NA,NA,NA,1,1,NA,"Pfam",2
"ANAPC15",NA,NA,NA,NA,1,1,NA,"Pfam",2
"ANAPC2",NA,NA,NA,NA,1,1,NA,"Pfam",2
"ANF_receptor",NA,NA,NA,NA,1,1,NA,"Pfam",2
"AP3B1_C",NA,NA,NA,NA,1,1,NA,"Pfam",2
"AP3D1",NA,NA,NA,NA,1,1,NA,"Pfam",2
"APAF1_C",NA,NA,NA,NA,1,1,NA,"Pfam",2
"APC1_C",NA,NA,NA,NA,1,1,NA,"Pfam",2
"APC_15aa",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"APC_r",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"APC_rep",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"API5",NA,NA,NA,NA,1,1,NA,"Pfam",2
"APP_Cu_bd",NA,NA,NA,NA,1,1,NA,"Pfam",2
"APP_E2",NA,NA,NA,NA,1,1,NA,"Pfam",2
"APP_N",NA,NA,NA,NA,1,1,NA,"Pfam",2
"APP_amyloid",NA,NA,NA,NA,1,1,NA,"Pfam",2
"AP_endonuc_2",NA,NA,NA,NA,1,1,NA,"Pfam",2
"ARGLU",NA,NA,NA,NA,1,1,NA,"Pfam",2
"ARL2_Bind_BART",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"ARL6IP6",NA,NA,NA,NA,1,1,NA,"Pfam",2
"ARMET_C",NA,NA,NA,NA,1,1,NA,"Pfam",2
"ARMET_N",NA,NA,NA,NA,1,1,NA,"Pfam",2
"ARMH3_C",NA,NA,NA,NA,1,1,NA,"Pfam",2
"AROS",NA,NA,NA,NA,1,1,NA,"Pfam",2
"ARTD15_N",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"ASCH",NA,NA,NA,NA,1,1,NA,"Pfam",2
"ASD2",NA,NA,NA,NA,1,1,NA,"Pfam",2
"ASK_PH",NA,NA,NA,NA,1,1,NA,"Pfam",2
"ASXH",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"ATAD3_N",NA,NA,NA,NA,1,1,NA,"Pfam",2
"ATG11",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"ATP-gua_Ptrans",NA,NA,NA,NA,1,1,NA,"Pfam",2
"ATP-gua_PtransN",NA,NA,NA,NA,1,1,NA,"Pfam",2
"ATP-synt_DE",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"ATP-synt_F6",NA,NA,NA,NA,1,1,NA,"Pfam",2
"ATP_Ca_trans_C",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Abhydrolase_11",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Abi_HHR",NA,NA,NA,NA,1,1,NA,"Pfam",2
"AcetylCoA_hyd_C",NA,NA,NA,NA,1,1,NA,"Pfam",2
"AcetylCoA_hydro",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Acetyltransf_16",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Acetyltransf_4",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Activin_recp",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Acyl_transf_3",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Acylphosphatase",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Adcy_cons_dom",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Alpha-2-MRAP_C",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Alpha-2-MRAP_N",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Alpha_L_fucos",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Amidase_2",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Amnionless",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"An_peroxidase",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Angiomotin_C",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Anillin",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Anillin_N",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"AnkUBD",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Annexin",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Anoct_dimer",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Antistasin",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Apc1_MidN",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Apc1_N",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Aph-1",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Apis_Csd",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"ApoLp-III",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Apyrase",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Archease",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Arfaptin",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Argos",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Arm_vescicular",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Ashwin",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Astacin",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Atrophin-1",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Atthog",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Auts2",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Axin_b-cat_bind",NA,NA,NA,NA,1,1,NA,"Pfam",2
"B9-C2",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"BAF250_C",NA,NA,NA,NA,1,1,NA,"Pfam",2
"BAG6",NA,NA,NA,NA,1,1,NA,"Pfam",2
"BAMBI",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"BAT2_N",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"BBL5",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"BCAS3",NA,NA,NA,NA,1,1,NA,"Pfam",2
"BCL9",NA,NA,NA,NA,1,1,NA,"Pfam",2
"BCNT",NA,NA,NA,NA,1,1,NA,"Pfam",2
"BEN",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"BESS",NA,NA,NA,NA,1,1,NA,"Pfam",2
"BIRC6",NA,NA,NA,NA,1,1,NA,"Pfam",2
"BLOC1S3",NA,NA,NA,NA,1,1,NA,"Pfam",2
"BNIP3",NA,NA,NA,NA,1,1,NA,"Pfam",2
"BORA_N",NA,NA,NA,NA,1,1,NA,"Pfam",2
"BPS",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"BRCA-2_OB3",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"BRCA2",NA,NA,NA,NA,1,1,NA,"Pfam",2
"BRCC36_C",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"BRCT_3",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"BRD4_CDT",NA,NA,NA,NA,1,1,NA,"Pfam",2
"BRE",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"BRICHOS",NA,NA,NA,NA,1,1,NA,"Pfam",2
"BRK",NA,NA,NA,NA,1,1,NA,"Pfam",2
"BSMAP",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"BTB_2",NA,NA,NA,NA,1,1,NA,"Pfam",2
"BTB_3",NA,NA,NA,NA,1,1,NA,"Pfam",2
"BTK",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"BURAN",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Baculo_F",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Band_3_cyto",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Basic",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Bcl-2",NA,NA,NA,NA,1,1,NA,"Pfam",2
"BcrAD_BadFG",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Beta-TrCP_D",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Beta_helix",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"BicD",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Borealin",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Bravo_FIGEY",NA,NA,NA,NA,1,1,NA,"Pfam",2
"BrkDBD",NA,NA,NA,NA,1,1,1,"Pfam",3
"Bro-N",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Bromo_TP_like",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"BtpA",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Btz",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Bunya_RdRp",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"C1-set",NA,NA,NA,NA,1,1,NA,"Pfam",2
"C1q",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"C2-set_2",NA,NA,NA,NA,1,1,NA,"Pfam",2
"C2orf69",NA,NA,NA,NA,1,1,NA,"Pfam",2
"C4",NA,NA,NA,NA,1,1,NA,"Pfam",2
"C5-epim_C",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"C5HCH",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"C6_DPF",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"C8",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CAAP1",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CABIT",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CAC1F_C",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CADH_Y-type_LIR",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CAMSAP_CC1",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CAMSAP_CKK",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CAP-ZIP_m",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"CARM1",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"CARMIL_C",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CAS_C",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CBF_beta",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CBM39",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CBM_14",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CBM_20",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CBX7_C",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"CC149",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"CCCAP",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"CCDC22",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CCDC28",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CCDC50_N",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CCDC66",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"CCDC85",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"CCDC92",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"CCDC93_CC",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CCSMST1",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CD36",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CDH1_2_SANT_HL1",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CDI",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"CDK2AP",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CDK5RAP3",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CDK5_activator",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CDV3",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CEBP_ZZ",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"CERK_C",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CFAP91",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"CG-1",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CHAT",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"CHDCT2",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CHDII_SANT-like",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CHDNT",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CHGN",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CHIP_TPR_N",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CIDE-N",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CK1gamma_C",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CK2S",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"CLEC16A_C",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CLIP",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CLIP1_ZNF",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CLIP_1",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CLIP_SPH_Scar",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CLSTN_C",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CNOT11",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CNRIP1",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"COMM_domain",NA,NA,NA,NA,1,1,NA,"Pfam",2
"COMP",NA,NA,NA,NA,1,1,NA,"Pfam",2
"COMPASS-Shg1",NA,NA,NA,NA,1,1,NA,"Pfam",2
"COR",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"CPT_N",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CR6_interact",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CREPT",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CRF",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"CRF-BP",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"CRPV_capsid",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"CSD",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CSN4_RPN5_eIF3a",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CSN7a_helixI",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CSRNP_N",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"CSTF1_dimer",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CTD",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CUB",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CUT",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CXCXC",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CYTH",NA,NA,NA,NA,1,1,NA,"Pfam",2
"C_tripleX",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CaMKII_AD",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CaM_bdg_C0",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Ca_chan_IQ",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Cadherin",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Cadherin_3",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Cadherin_pro",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Calici_coat",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Calponin",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Calx-beta",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Caprin-1_dimer",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CarbopepD_reg_2",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"CarboxypepD_reg",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Carm_PH",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Cas1_AcylT",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Cas_Cas4",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Cast",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Caveolin",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Cbl_N",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Cbl_N2",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Cbl_N3",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Ceramidase_alk",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Ceramidse_alk_C",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Chitin_bind_4",NA,NA,NA,NA,1,1,NA,"Pfam",2
"ChlI",NA,NA,NA,NA,1,1,1,"Pfam",3
"Chloroa_b-bind",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Chromo_2",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Clathrin_bdg",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Claudin_2",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Cluap1",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Cmyb_C",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Cobalamin_bind",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Codanin-1_C",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Coilin_N",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Cons_hypoth95",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Copper-bind",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"CortBP2",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Costars",NA,NA,NA,NA,1,1,NA,"Pfam",2
"CpG_bind_C",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Creb_binding",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Crisp",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Cu2_monoox_C",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Cu2_monooxygen",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Cul7",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"CutA1",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Cuticle_3",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Cyclin_N2",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Cys_knot",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Cys_rich_FGFR",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Cystatin",NA,NA,NA,NA,1,1,NA,"Pfam",2
"Cytochrom_B_N_2",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"Cytochrome_B",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DAG1",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DAN",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DAZAP2",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DBB",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DBC1",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DCX",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DDA1",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DDE_Tnp_1",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DDE_Tnp_1_7",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DDRGK",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DDT",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DENN",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DFF40",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DGCR6",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DHDPS",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DHR-2_Lobe_B",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DHR-2_Lobe_C",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DIRP",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DIX",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DJC28_CD",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DM10_dom",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DM13",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DMAP1",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DNA-PKcs_N",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DNAPKcs_CC1-2",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DNAPKcs_CC3",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DNAPKcs_CC5",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DNA_ligase_IV",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DNA_pol_B_palm",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DNA_pol_B_thumb",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DNA_pol_lambd_f",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DND1_DSRM",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DNase_II",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DOCK-C2",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DOCK_C-D_N",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DOCK_N",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DOR",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DP",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DPCD",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DPF1-3_N",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DREV",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DRHyd-ASK",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DSL",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DSPn",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DTC",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DTHCT",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DUF1011",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF1075",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF1081",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF1087",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF1088",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DUF1151",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF1154",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF1180",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF1241",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF1358",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF1397",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF1647",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DUF1676",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF1679",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF1687",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DUF1731",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF1758",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF1759",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF1866",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DUF1897",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF1907",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF1908",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DUF2053",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF2152",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF2181",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF2187",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DUF2205",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF2228",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF229",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF243",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF2451",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DUF2452",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DUF2464",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF2465",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF2615",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF2738",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DUF2967",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DUF3105",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF3350",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DUF3399",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF3452",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF3456",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF3480",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF3498",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF3504",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF3517",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF3522",NA,NA,NA,NA,1,1,NA,"Pfam",2
"DUF3627",NA,NA,NA,NA,1,NA,NA,"Pfam",1
"DUF3652",NA,NA,NA,NA,1,NA,NA,"Pfam",1
