DOMAIN	Basidiobolus_heterosporus_B8920	Basidiobolus_meristosporus_B9252	Basidiobolus_meristosporus_CBS_931	Conidiobolus_coronatus_NRRL_28638	Conidiobolus_firmipilleus_ARSEF_2731	Conidiobolus_firmipilleus_ARSEF_6384	Conidiobolus_heterosporus_ARSEF_6386	Conidiobolus_incongruus_B7586	Conidiobolus_lamprauges_ARSEF_2338	Conidiobolus_megalotocus_ARSEF_8428	Conidiobolus_osmodes_ARSEF_79	Conidiobolus_pumilus_ARSEF_6383	Conidiobolus_rhysosporus_ARSEF_448	Conidiobolus_thromboides_ARSEF_4968	Conidiobolus_thromboides_FSU_785	Entomophthora_muscae_Berkeley_v1	Entomophthora_muscae_isoH_Trinity	Pandora_formicae_Trinity	Strongwellsea_castrans_DrSc_Trinity	Zoophthora_radicans_ATCC_208865
DSBA	2	2	2	4	4	2	5	5	1	2	6	3	4	3	3	4	4	2	5	6
Ribosomal_L10	4	7	6	3	3	3	4	6	5	3	3	3	4	3	3	2	3	5	6	3
Prefoldin	3	3	5	4	4	4	3	8	4	4	1	2	4	1	4	2	4	7	8	4
Peptidase_M3	4	4	3	2	4	4	7	4	6	4	6	3	3	3	3	3	3	5	4	2
TUDOR	0	0	1	1	0	1	2	2	2	1	1	2	1	1	1	2	2	22	18	2
Choline_transpo	2	3	4	4	2	5	3	8	7	4	4	3	4	2	3	4	3	5	5	2
GDI	4	4	6	2	2	2	5	3	4	2	2	2	3	1	2	4	2	6	5	2
Tudor-knot	0	4	5	4	3	4	4	10	4	4	2	2	2	2	2	3	1	12	8	3
DUF3336	2	5	6	2	4	4	5	6	5	4	1	3	6	3	3	6	2	6	3	3
DcpS_C	1	4	10	3	3	3	3	4	1	1	3	3	4	3	3	3	4	9	8	5
GDC-P	3	3	4	1	3	2	2	2	2	2	2	1	3	1	1	2	2	13	2	1
SUI1	3	3	4	1	3	3	5	6	4	3	2	3	5	3	3	7	4	6	6	4
RNA_pol_Rpb2_1	4	5	4	3	4	3	4	6	4	3	3	3	5	3	3	2	3	7	6	3
DUF2974	0	7	6	3	2	0	3	1	1	1	1	1	4	1	2	23	10	2	2	8
Bromo_TP	2	5	3	3	4	4	6	4	5	3	2	2	4	4	3	4	3	10	5	2
ParA	2	2	2	3	4	3	6	6	7	3	4	1	5	3	3	5	3	6	6	3
Nop	3	2	5	3	3	3	5	6	4	3	4	1	5	3	3	5	3	8	6	3
PGAP1	3	4	7	2	2	2	2	5	9	2	2	1	2	2	4	6	3	9	7	3
CSN8_PSD8_EIF3K	2	3	3	4	3	3	3	8	3	3	3	2	4	3	3	7	4	8	6	3
Ketoacyl-synt_C	4	10	6	3	2	2	3	5	4	2	2	2	3	2	2	3	3	9	7	3
Ribosomal_S5	6	12	9	2	2	3	3	3	3	3	2	1	4	2	2	2	3	8	5	2
Rieske	3	5	9	3	2	5	4	3	2	3	2	2	5	2	3	4	3	7	7	3
RNA_pol_Rpb2_2	5	5	4	3	3	3	4	6	5	3	3	3	5	3	3	2	3	5	6	3
Ribosomal_S5_C	8	12	9	2	3	3	2	3	2	3	2	1	4	2	2	2	3	7	5	2
Glyco_transf_21	6	6	8	0	1	1	8	0	5	0	3	3	11	4	4	1	1	5	8	2
HhH-GPD	1	6	6	3	3	4	8	7	6	4	2	1	4	4	4	3	3	3	3	2
P_proprotein	3	3	5	1	1	1	4	2	3	2	2	1	4	2	2	19	8	6	6	2
HSP90	1	0	1	2	5	3	5	7	5	2	4	3	5	3	3	3	3	9	7	3
cobW	2	5	5	4	4	3	5	6	5	2	2	3	4	4	4	3	4	3	4	4
DUF1981	3	4	3	1	2	2	6	2	7	2	5	0	6	3	3	5	4	7	6	5
XPG_N	2	3	7	4	5	3	3	8	5	3	3	0	1	2	3	4	2	7	6	4
Amidohydro_3	3	7	6	0	0	3	9	3	4	3	2	3	4	5	6	3	3	5	5	2
Hexokinase_2	12	5	13	2	2	2	3	4	3	2	2	1	4	2	2	2	2	4	6	3
OTU	1	2	3	2	4	3	3	5	5	3	3	2	3	2	2	7	2	11	9	3
Calreticulin	2	2	2	2	3	1	4	2	3	1	2	2	6	2	2	3	2	4	4	2
UDPGP	3	5	5	4	4	3	2	6	3	3	4	2	4	2	2	5	3	6	6	4
GHMP_kinases_C	5	8	8	1	2	2	2	3	5	2	3	3	3	3	3	2	3	9	6	3
Alpha_adaptinC2	3	5	4	4	2	4	2	8	4	4	3	1	6	2	2	3	2	9	6	2
MMM1	4	4	5	2	2	2	1	5	5	2	3	2	3	2	3	4	2	5	3	3
CUB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	13	0
zf-BED	3	1	2	4	3	4	2	9	2	4	1	0	1	1	2	3	2	7	17	1
Gal_mutarotas_2	4	7	6	1	2	5	4	7	6	4	1	1	6	3	3	2	2	5	2	4
RasGAP_C	3	6	6	3	3	3	4	7	4	3	3	3	6	3	3	3	3	4	2	3
PWI	1	3	4	3	3	3	5	5	5	3	2	1	6	3	3	3	4	10	5	3
FATC	2	4	4	2	4	4	3	6	4	5	2	2	4	2	3	2	3	8	9	2
ACAS_N	2	3	5	4	2	5	3	6	4	4	1	1	2	2	2	4	2	15	4	4
dsrm	1	2	2	1	1	2	4	3	4	2	1	2	1	2	2	1	1	17	9	1
PIF1	4	1	2	1	3	6	3	4	2	6	3	0	1	2	2	0	4	6	5	0
1-cysPrx_C	4	10	12	2	2	2	4	4	2	2	2	1	3	3	3	2	1	6	7	2
E3_binding	4	4	3	3	2	3	5	6	4	3	2	2	5	3	3	5	3	7	4	3
Phosducin	2	4	3	2	2	3	5	5	7	3	2	1	3	3	3	5	4	5	7	3
Ribosomal_L30	4	8	5	3	3	3	2	7	4	3	2	1	4	3	2	3	4	5	5	3
Glucosamine_iso	7	8	9	2	2	2	3	4	2	2	2	1	4	2	2	4	3	4	7	4
RNA_pol_Rpb1_4	1	4	4	3	2	3	3	6	7	3	4	1	4	4	3	2	3	7	6	4
Longin	4	3	3	3	3	3	4	6	4	2	2	2	5	3	3	6	3	6	6	3
SNase	0	0	0	0	0	0	3	0	2	0	4	1	1	1	1	0	1	5	3	1
TAXi_N	4	14	10	3	2	3	2	4	1	3	2	1	2	2	2	1	2	7	5	2
SCP2	2	4	3	4	3	4	4	6	3	3	2	2	1	2	2	1	1	5	6	1
Isochorismatase	4	17	18	1	1	2	2	2	2	1	1	0	2	1	1	3	2	6	4	2
Utp12	2	7	4	3	3	3	4	6	4	3	3	1	4	3	3	3	3	6	6	3
Esterase	1	4	4	1	1	3	4	1	5	2	3	5	5	3	4	7	4	9	5	3
TBP	1	1	1	1	2	1	2	2	1	1	1	1	2	1	1	2	1	12	4	2
PS_Dcarbxylase	3	4	5	2	2	2	4	3	4	2	3	2	3	2	2	5	3	7	4	3
Pex2_Pex12	2	3	3	3	2	3	3	8	5	3	2	1	4	1	3	3	3	11	6	3
KH_2	7	9	10	1	1	2	1	4	3	2	3	1	3	1	2	3	2	9	6	2
DNA_pol_E_B	1	2	4	3	4	3	4	6	6	3	2	2	3	3	3	5	3	7	6	3
SAPS	1	3	2	3	4	3	2	6	4	3	3	1	2	1	2	3	2	4	3	2
Ribosom_S12_S23	4	3	10	3	3	3	3	9	3	3	2	1	4	2	2	2	2	7	5	2
Glyco_transf_20	5	5	8	2	4	2	4	3	4	2	3	2	4	2	2	2	3	6	4	3
PDZ_1	3	6	7	1	2	1	1	2	0	1	2	2	4	1	1	2	2	4	2	3
FGGY_N	5	7	4	1	2	1	2	2	2	1	1	1	2	1	1	1	1	26	7	1
TRAPP	3	5	3	2	3	3	3	5	5	3	3	2	3	2	3	5	2	8	6	3
SAC3_GANP	3	5	3	2	1	2	4	4	6	2	2	0	4	3	4	4	3	10	5	4
Tyr-DNA_phospho	3	1	4	0	0	11	4	1	2	14	1	1	2	1	2	3	2	5	3	2
Skp1	3	5	5	1	2	1	5	6	4	1	2	2	6	3	3	5	3	5	5	4
CBF	2	2	3	3	2	3	6	8	6	3	3	1	4	3	3	1	3	7	6	3
Chromo_shadow	2	5	5	1	1	1	4	3	3	2	2	1	3	3	3	7	5	6	10	5
PAPS_reduct	2	6	5	2	2	2	3	5	4	2	2	2	3	1	2	3	2	2	2	1
HIT	2	4	10	3	3	2	1	5	3	1	3	1	3	2	3	3	3	8	8	4
Acyltransf_C	1	3	3	2	2	4	1	8	4	4	2	2	4	1	2	5	4	10	6	4
TGS	2	5	4	2	2	3	4	4	4	2	3	2	6	3	3	3	3	7	7	3
DIOX_N	0	3	4	3	3	3	3	5	1	4	1	3	5	2	2	7	4	7	3	7
SDF	6	8	9	5	4	3	2	3	2	2	3	0	3	1	1	3	1	8	3	2
RMMBL	2	2	3	5	3	3	4	5	6	3	1	2	2	3	3	4	2	9	6	3
COPIIcoated_ERV	1	5	3	2	2	3	3	4	4	2	1	3	4	2	2	4	2	15	4	2
IMS	0	0	3	0	0	1	4	1	6	1	4	3	4	2	2	3	1	26	7	3
Sas10_Utp3	2	5	3	2	3	1	6	4	6	1	2	0	4	3	3	3	3	13	5	2
DUF4817	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	3	7	0
Metalloenzyme	2	2	2	3	3	2	10	4	5	3	2	4	8	5	5	1	1	2	6	1
Sushi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	13	0
Pro_CA	3	10	7	1	1	1	4	2	4	1	2	2	3	2	2	4	2	7	5	8
Rep_fac_C	3	2	3	4	4	3	4	7	5	3	2	2	3	3	3	2	3	4	7	4
R3H	1	3	6	2	2	2	2	2	5	2	2	1	4	3	3	3	4	13	8	3
Pre-SET	0	0	2	2	1	3	4	3	5	2	3	2	4	2	2	9	8	9	6	4
LETM1	5	4	5	2	2	3	4	6	4	2	3	1	4	2	2	2	2	5	6	2
Fer4	2	4	1	1	2	2	2	4	3	2	2	1	4	2	1	2	2	6	4	1
Pyr_redox_dim	6	4	12	2	2	4	3	4	5	2	2	1	4	2	2	3	2	4	4	2
Ribosomal_S7	7	10	10	2	2	2	2	4	1	2	2	2	4	2	2	1	2	6	5	2
ACT	2	5	5	2	2	4	5	8	2	4	3	2	4	3	2	4	4	4	3	2
MOZ_SAS	1	2	3	3	3	3	1	4	3	3	2	2	2	1	3	2	2	17	9	3
GCD14	3	9	5	2	3	3	3	4	3	2	1	3	4	2	2	3	2	7	4	3
DNA_pol_A_exo1	4	7	11	3	1	3	3	6	1	3	2	1	3	1	2	1	1	9	6	2
HDA2-3	2	6	4	2	1	2	3	4	3	2	5	1	5	2	3	5	3	6	6	5
Coatomer_WDAD	3	5	5	2	3	2	5	5	6	2	3	2	6	2	2	2	2	4	4	2
Kinesin_assoc	2	6	2	1	1	1	2	2	1	1	1	1	2	1	1	1	1	11	3	1
Sec10	2	2	3	2	2	3	2	6	4	2	4	1	3	2	2	3	2	6	3	2
Inhibitor_I78	0	1	1	6	10	6	3	7	17	4	3	2	5	2	1	1	0	0	0	1
AdoHcyase	3	2	2	1	2	1	1	4	2	1	2	1	2	1	1	1	1	4	5	1
FAA_hydrolase	3	5	4	3	3	2	6	4	4	2	3	1	3	3	3	3	2	8	5	2
Ribonuc_L-PSP	4	5	6	2	2	5	4	6	2	3	2	2	5	2	2	3	2	4	3	1
VWA_2	2	2	4	1	2	3	3	5	6	2	2	1	5	3	3	2	2	10	8	3
Ribosomal_L3	5	5	5	2	3	2	3	4	3	2	3	2	4	2	2	4	3	8	5	2
ELFV_dehydrog	1	6	17	2	1	3	2	4	4	2	2	1	4	2	2	0	2	4	3	3
PEX11	5	3	6	3	3	3	1	6	4	3	2	2	4	2	2	3	2	7	5	3
Na_H_antiporter	0	0	0	3	5	3	4	6	5	3	5	2	6	3	3	6	4	4	4	3
ACBP	1	2	2	3	2	3	4	7	3	3	3	2	4	2	2	9	2	5	6	4
Sod_Fe_N	3	4	4	1	3	3	4	6	6	2	3	2	5	2	3	2	4	3	6	3
Mo25	2	8	7	2	2	2	4	3	4	2	2	3	2	2	2	2	3	4	3	2
ZZ	3	6	5	2	1	1	1	2	3	1	2	1	2	0	2	2	3	22	9	1
AAA_3	2	3	4	1	1	4	5	2	5	3	5	1	4	3	3	2	2	2	1	2
ArgoL2	2	5	3	0	3	4	4	2	4	3	2	2	3	2	3	10	4	7	3	3
ANAPC3	4	5	6	3	3	4	3	7	0	4	2	0	1	2	2	2	2	8	5	4
tRNA-synt_1e	2	2	3	2	5	4	3	5	3	3	4	3	7	2	3	1	2	6	6	2
AAA_16	3	7	11	2	1	2	3	4	3	2	0	3	2	1	3	3	3	7	6	3
DPBB_1	13	14	19	2	2	3	2	5	2	2	0	0	0	1	1	0	0	1	0	1
HlyIII	2	2	6	2	2	3	2	5	2	3	1	1	2	1	1	6	3	9	7	2
MaoC_dehydratas	3	9	6	3	3	2	3	4	3	2	3	1	5	2	2	2	4	5	4	3
Ribosomal_S8e	5	5	5	2	2	2	3	4	2	2	2	2	4	2	2	3	3	6	5	2
DUF4419	0	0	0	4	3	4	2	3	2	4	1	0	0	2	3	22	13	1	1	1
Rap_GAP	2	5	4	3	3	3	2	5	4	3	2	0	3	2	2	3	2	14	5	2
NAD_kinase	3	2	4	3	4	3	3	7	3	3	1	0	3	2	2	3	2	12	4	3
tRNA-synt_2c	3	2	3	2	4	3	4	4	5	2	4	2	4	1	2	2	2	6	5	3
Nucleoporin_FG	2	2	1	0	0	1	2	0	1	1	0	1	3	2	1	0	0	2	3	1
PCMT	5	6	6	3	3	2	3	4	2	2	3	1	3	1	2	2	1	14	4	1
HD	1	3	6	1	2	4	5	5	7	3	2	3	6	3	3	3	2	3	3	3
CBM_21	4	8	7	1	1	1	3	3	3	1	5	0	4	3	3	3	2	10	3	3
RVP_2	0	0	0	0	1	8	3	4	1	7	1	12	3	1	0	13	7	2	3	2
Thioesterase	8	11	20	1	0	2	1	7	0	2	0	1	0	1	2	3	2	5	2	0
ArgoL1	2	5	3	1	3	4	4	3	3	4	2	2	3	2	2	10	4	5	3	3
Glyco_transf_8	1	5	3	2	3	3	2	8	3	3	2	1	2	2	2	3	2	8	6	4
PD40	1	2	4	4	5	7	6	6	2	6	3	0	2	3	3	1	1	3	2	1
FKS1_dom1	3	4	4	2	1	2	6	3	3	2	4	2	6	3	3	5	2	3	4	6
DDE_Tnp_1_7	0	0	0	0	0	0	0	0	1	0	9	1	1	0	0	0	0	11	45	0
Lectin_leg-like	3	4	5	3	3	3	3	7	4	3	3	1	5	2	2	0	3	6	5	3
Peptidase_S24	0	1	4	5	3	5	0	6	2	5	2	1	3	1	3	5	3	7	6	5
PDZ_2	2	3	4	0	0	1	0	2	1	1	1	0	3	0	0	0	0	39	11	0
SPA	0	2	2	3	3	2	4	7	4	3	2	2	5	3	3	2	2	11	5	2
BSD	2	3	3	3	3	2	3	4	4	2	1	1	3	2	2	1	2	10	2	2
Inositol_P	2	2	2	1	3	2	3	5	5	2	4	2	2	2	2	4	3	10	8	2
CDH-cyt	0	0	0	4	4	4	7	9	6	4	2	1	4	4	5	4	2	2	2	3
Opi1	2	3	3	0	2	1	2	2	2	1	1	1	2	1	1	2	1	2	1	2
Glyco_hydro_3	2	1	1	3	3	4	4	6	4	3	2	0	3	2	2	6	4	2	6	8
UBA_e1_thiolCys	2	3	3	2	3	2	6	4	4	2	2	2	3	3	3	2	2	5	4	3
ArAE_2	3	6	11	1	0	2	6	4	6	2	2	2	3	3	4	3	2	3	2	2
BRO1	2	2	4	3	4	3	3	4	4	3	1	2	3	1	2	2	2	9	5	2
TIP49	2	4	2	2	2	2	6	5	4	2	4	3	3	2	2	3	2	6	5	3
MT-A70	3	3	4	3	2	3	3	5	6	2	3	1	3	2	3	5	4	4	5	2
MoCF_biosynth	3	3	3	1	1	2	2	3	3	1	2	1	1	1	1	4	3	7	2	2
Choline_kinase	2	2	3	3	4	3	4	4	2	4	1	2	4	2	2	1	1	12	10	1
Peptidase_M17	2	6	3	2	2	3	3	5	5	2	6	1	4	2	2	2	2	5	6	3
Ribosomal_L27A	6	7	6	2	2	2	2	4	3	2	2	2	4	2	2	2	3	6	5	2
BPL_N	1	1	1	1	1	3	2	3	2	3	1	0	2	0	1	14	8	6	4	12
Peptidase_M13	2	13	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	26	0
La	2	6	5	1	0	4	4	8	2	3	2	4	2	2	1	0	2	6	8	4
Ribosomal_S15	6	6	5	1	2	2	2	7	3	2	2	1	4	2	2	3	3	6	5	2
Gln-synt_C	3	1	6	2	3	5	3	8	3	4	2	1	4	2	2	5	2	4	4	2
STPPase_N	6	8	7	2	3	2	3	4	2	2	2	2	2	2	2	2	2	5	5	3
TauD	6	15	14	2	2	2	2	3	4	3	2	2	3	1	2	1	1	0	1	0
RWD	3	6	8	0	0	0	3	0	4	0	2	1	3	2	3	4	4	13	6	4
DegT_DnrJ_EryC1	5	10	7	2	1	3	2	7	5	2	0	1	2	2	2	3	2	4	4	2
FUSC_2	4	8	11	1	0	2	5	4	6	2	1	0	4	3	3	4	2	2	2	2
CLPTM1	2	2	2	2	3	3	4	6	4	4	3	3	3	2	2	4	2	5	4	2
Glyco_transf_22	1	2	4	4	2	1	1	1	1	0	2	1	4	0	4	4	3	16	8	4
TP_methylase	2	6	5	3	3	3	3	5	5	3	3	3	3	3	3	4	2	2	3	1
Drf_FH3	4	9	8	2	2	2	3	4	3	2	2	0	4	2	2	2	1	8	4	2
SUN	0	0	0	3	3	4	6	4	6	4	5	3	8	4	5	3	1	2	2	3
Ribosomal_L22	4	8	8	1	2	2	2	5	4	2	1	1	4	2	2	1	2	8	5	2
DUF1679	1	0	2	0	0	0	1	0	0	0	0	0	2	0	1	0	0	20	38	0
NAD_synthase	1	4	4	2	2	2	4	5	5	2	2	0	3	3	3	3	2	9	6	3
Med26	3	6	7	2	2	2	4	4	2	2	2	1	4	2	1	4	2	8	5	2
MutS_II	1	3	4	3	2	4	5	5	6	3	3	2	4	2	3	2	3	3	4	3
2-Hacid_dh	3	8	7	3	3	2	2	3	2	2	0	2	3	1	2	3	2	8	7	2
Ribosomal_S17	4	9	8	2	2	2	1	5	3	2	3	2	3	1	2	3	2	5	3	3
Ribosomal_L14	5	7	7	1	3	2	2	4	3	2	2	2	4	2	2	3	2	5	5	2
tRNA-synt_His	1	3	3	2	2	2	5	5	4	2	3	1	3	3	3	4	3	7	4	3
Met_10	1	7	4	3	3	4	5	4	3	4	1	1	1	3	3	2	3	8	4	1
V-SNARE_C	2	1	6	2	3	2	3	4	3	2	2	2	4	1	3	4	3	8	7	3
Ribosomal_L4	4	4	5	2	3	2	2	6	2	2	3	1	5	2	2	3	2	6	7	2
Drf_GBD	5	5	8	2	1	2	2	4	3	2	2	0	4	2	2	2	1	8	6	2
Ribosomal_L16	2	4	4	3	4	2	3	9	2	3	2	1	5	2	2	1	3	6	5	2
Bac_globin	10	12	16	0	0	0	3	0	1	0	2	0	0	2	2	8	4	0	3	2
Patched	3	2	2	2	4	1	2	2	3	1	0	1	3	1	1	2	2	14	7	2
Ribosomal_L23	4	9	6	2	2	2	3	4	1	2	3	2	4	2	2	2	2	5	5	2
Nuc_sug_transp	4	8	10	3	3	2	2	6	2	2	0	1	1	1	1	4	3	5	3	2
NAD_Gly3P_dh_N	4	7	5	1	1	2	3	4	3	2	1	2	4	2	2	3	2	6	4	2
Ribosomal_S10	3	4	3	2	2	2	3	4	2	2	2	2	5	2	2	6	3	7	6	2
RPEL	0	1	2	0	0	0	2	0	2	0	1	0	1	1	1	0	0	8	3	1
TGT	1	6	4	2	2	3	3	5	5	3	4	2	3	2	2	2	2	8	3	2
Methyltransf_3	0	3	7	2	3	3	4	2	1	3	1	2	6	2	3	5	4	0	2	6
7tm_2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	5	0
ERG4_ERG24	2	5	6	2	2	5	2	5	4	4	3	2	4	2	2	2	3	4	3	2
U-box	1	1	6	3	4	5	4	5	2	4	2	2	1	2	3	2	1	8	7	1
Glyco_hydro_57	4	1	9	1	0	1	1	2	1	1	1	0	2	0	1	21	7	3	5	3
Ribosomal_S9	5	6	7	2	2	2	2	4	3	2	2	2	4	2	2	2	2	5	5	2
XRN_N	3	2	1	0	2	2	5	5	5	2	4	3	2	2	3	2	3	6	9	3
Sec2p	3	8	7	1	1	2	2	3	1	2	1	1	6	1	1	5	3	5	5	5
Ribosomal_S11	6	6	7	2	2	2	2	2	3	2	2	2	4	2	2	4	2	4	5	2
SHMT	6	5	4	2	3	2	3	5	4	2	2	3	3	2	2	3	2	3	3	2
Ferritin	3	9	5	2	2	3	2	4	4	2	2	1	2	2	2	3	3	4	5	3
PWWP	0	4	6	2	2	4	2	6	1	4	2	1	3	1	1	3	2	12	5	2
Mcp5_PH	2	4	2	2	2	2	2	4	4	2	2	2	5	1	1	5	4	6	7	4
PLDc_2	3	5	6	2	2	4	4	7	4	2	0	0	2	2	3	2	2	4	6	1
ArgoN	2	5	3	2	2	4	4	2	2	3	2	1	3	2	2	7	4	6	4	3
ATP-grasp_2	6	7	5	2	3	1	2	4	2	2	3	2	4	2	2	4	2	4	4	2
RrnaAD	4	3	3	2	2	2	6	5	3	2	2	1	3	3	4	1	2	7	6	2
Lipase_GDSL_2	2	4	3	4	6	1	4	3	2	2	1	4	7	1	2	7	4	1	2	3
CwfJ_C_1	3	2	3	3	4	3	3	6	5	3	1	1	4	3	3	2	2	4	5	3
ArgoMid	2	5	3	0	1	4	4	2	4	4	1	1	3	2	2	10	5	4	3	3
Ribosomal_L29	6	9	7	2	2	2	1	4	3	2	2	1	3	2	2	2	2	5	4	2
PAH	1	1	2	1	2	1	1	2	2	1	1	0	2	1	1	1	1	3	3	2
OxoGdeHyase_C	3	7	11	2	2	2	2	4	4	2	2	0	3	2	2	3	2	4	4	2
Nucleos_tra2_C	0	8	17	1	1	1	1	2	2	1	2	2	4	1	1	6	4	4	2	3
Peptidase_M18	2	4	3	5	11	5	2	10	3	4	2	1	2	1	1	1	1	2	1	1
IPK	2	3	3	2	3	2	3	4	3	2	3	2	3	2	2	0	2	12	6	2
Arylesterase	2	1	2	6	4	4	3	6	5	5	4	1	2	2	2	1	1	5	2	4
COPI_assoc	2	0	0	4	1	2	4	7	5	1	5	0	2	2	7	3	5	2	5	5
GATase_4	2	2	3	3	3	3	6	6	4	3	1	0	2	3	3	5	3	3	3	4
Nucleos_tra2_N	0	9	17	1	1	1	1	2	2	1	0	2	4	1	1	6	4	4	2	3
His_biosynth	2	4	2	2	2	2	6	5	4	2	2	1	4	2	3	6	3	4	3	3
DUF4451	1	1	4	5	3	3	4	5	3	3	3	2	6	2	3	1	2	3	3	5
APS_kinase	3	4	3	2	4	3	5	4	5	3	3	2	3	3	3	6	3	2	1	0
Clathrin_propel	1	4	1	1	1	1	1	2	2	1	1	1	2	1	1	0	1	2	2	1
Acetyltransf_3	4	9	7	1	1	2	4	3	4	1	2	3	4	3	3	1	1	4	2	2
Got1	1	3	4	3	4	3	1	5	3	4	1	0	3	2	3	4	2	6	5	3
Ribosomal_L13	5	3	5	1	2	2	3	4	3	2	2	2	4	2	2	2	3	7	5	2
Ribosomal_L24e	3	4	7	2	2	2	3	4	2	2	3	2	3	2	2	4	2	6	4	2
SNAP	3	8	4	2	3	2	4	5	3	2	3	1	3	2	2	2	1	4	4	1
SNF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	28	0
MutS_IV	1	3	6	2	1	4	4	5	4	3	1	2	3	2	3	2	2	5	4	4
Ribosomal_L5_C	4	5	6	2	2	2	3	3	3	2	2	2	4	2	2	3	3	5	4	2
3HCDH_N	1	4	3	2	2	2	5	5	3	2	2	1	3	3	3	2	2	6	8	2
UIM	4	5	4	1	1	1	3	1	1	1	1	1	3	2	1	3	2	6	5	2
Peptidase_M22	0	2	2	2	2	2	5	6	4	2	3	4	3	2	2	5	3	6	4	2
Sigma54_activat	2	6	5	0	1	5	6	2	3	2	1	1	2	3	3	5	3	4	4	3
ABC_membrane_2	3	2	3	2	3	2	5	4	4	3	2	2	3	4	3	3	2	4	4	2
FMN_dh	3	4	2	2	3	3	3	4	2	2	3	1	4	2	2	7	3	5	4	2
Spermine_synth	4	3	5	1	2	1	3	2	4	1	2	2	4	2	2	3	2	9	5	2
GCS	1	2	1	1	2	1	4	2	2	2	2	5	5	3	3	1	1	15	3	2
CK_II_beta	2	4	6	2	3	2	3	5	2	2	2	2	4	2	2	3	2	4	3	2
tRNA-synt_1_2	2	3	2	3	1	3	4	5	4	3	2	3	4	3	3	3	2	5	4	2
SKN1	9	10	9	1	1	1	2	2	4	1	2	3	3	1	1	1	1	2	2	3
Histone_H2A_C	4	0	4	2	1	2	2	4	2	2	2	1	1	1	1	13	4	7	3	5
GSHPx	2	3	4	6	5	3	4	4	3	3	2	0	2	2	2	4	2	4	4	2
Glyco_hydro_15	3	2	5	2	3	2	2	4	2	2	1	1	4	1	1	2	3	13	5	2
Yip1	2	3	5	3	2	2	2	3	4	2	2	2	5	1	2	5	3	7	4	2
Gar1	3	2	3	2	2	2	3	4	3	1	2	2	4	2	2	3	2	4	3	2
Sterol-sensing	3	2	2	2	3	2	2	4	3	2	1	1	3	1	1	2	2	12	5	2
Xan_ur_permease	3	14	17	0	0	0	2	0	1	0	1	0	0	1	1	7	4	4	2	1
AAA_31	2	1	2	3	3	3	4	4	6	2	1	0	2	3	4	4	2	5	7	3
O-FucT	5	9	10	5	3	7	0	5	0	11	0	0	0	0	0	0	0	4	2	0
6PF2K	6	5	8	2	2	2	2	4	3	2	1	2	3	2	2	2	2	4	3	2
PseudoU_synth_1	5	4	6	2	2	2	2	5	4	2	2	1	2	2	2	3	3	4	5	2
Shikimate_DH	4	5	5	2	1	3	5	2	12	1	1	1	2	2	1	5	2	2	4	1
Bax1-I	1	4	3	3	4	2	4	4	3	2	2	3	5	2	2	1	2	6	6	2
ThrE_2	7	11	12	1	0	1	4	2	3	1	1	1	1	2	2	3	2	2	1	3
ERCC3_RAD25_C	1	2	2	2	3	4	3	3	4	3	2	2	3	3	4	3	2	5	4	2
DSHCT	2	4	4	3	2	2	4	4	4	2	1	2	3	2	2	4	2	7	4	2
DUF1775	0	1	2	2	1	3	6	4	4	3	4	2	3	3	3	2	1	2	4	2
TatD_DNase	2	7	5	2	2	3	3	4	2	1	3	2	1	2	2	6	2	3	5	2
DDE_Tnp_4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20	38	0
Ammonium_transp	6	8	7	1	1	3	1	2	2	3	2	1	3	1	1	1	2	6	2	3
CIMR	1	4	5	0	0	1	1	2	2	0	0	1	2	1	1	1	1	7	3	1
rRNA_proc-arch	2	4	4	2	2	2	3	4	4	2	2	1	3	2	2	4	2	8	4	2
DUF1752	3	5	10	1	3	3	2	6	3	3	2	1	2	2	1	2	2	3	4	2
BPL_LplA_LipB	1	1	2	3	3	7	1	5	2	6	0	0	3	0	2	2	5	5	7	5
Sec3_C	2	3	3	2	3	1	2	8	6	1	1	1	2	1	1	4	2	4	3	2
DUF4243	1	8	6	3	3	4	6	4	5	3	2	1	2	4	3	1	1	1	1	1
DER1	1	2	2	3	3	5	2	6	5	5	1	1	3	2	2	3	2	5	5	2
STE	2	6	4	3	2	3	2	6	5	3	1	3	4	2	3	4	2	0	2	3
CoA_binding	2	7	4	2	2	2	2	3	3	3	2	2	4	2	2	4	2	6	4	2
Suf	2	3	3	3	3	3	2	7	3	3	4	2	2	2	2	4	2	3	4	1
EB1	4	6	5	2	2	2	0	4	2	2	1	2	4	0	0	1	2	12	5	3
Diphthamide_syn	1	3	2	2	2	2	5	4	3	4	2	1	2	3	2	1	2	6	5	4
Toprim	2	7	5	2	2	4	2	4	3	2	1	2	2	2	2	2	1	6	5	3
