DOMAIN	ACCESSION	Basidiobolus_heterosporus_B8920	Basidiobolus_meristosporus_CBS_931	Conidiobolus_antarcticus__ARSEF_6913	Conidiobolus_coronatus_NRRL_28638	Conidiobolus_firmipilleus__ARSEF_2731	Conidiobolus_heterosporus__ARSEF_6386	Conidiobolus_incongruus_B7586	Conidiobolus_incongruus__NRRL_3022	Conidiobolus_incongruus__NRRL_3023	Conidiobolus_lamprauges__ARSEF_2338	Conidiobolus_lamprauges__NRRL_1229	Conidiobolus_megalotocus__ARSEF_8428	Conidiobolus_megalotocus__NRRL_3011	Conidiobolus_osmodes__ARSEF_79	Conidiobolus_polytocus__NRRL_1231	Conidiobolus_pumilus__ARSEF_6383	Conidiobolus_rhysosporus__ARSEF_448	Conidiobolus_rhysosporus__NRRL_1225	Conidiobolus_sp___NRRL_29146	Conidiobolus_thromboides_FSU_785	Conidiobolus_thromboides__ARSEF_4968	Conidiobolus_thromboides__NRRL_1224	Entomophaga_maimaiga_ARSEF_7190	Entomophthora_muscae_UCB	Entomophthora_muscae_UCB_Trinity	Entomophthora_muscae_isoH_Trinity	Pandora_formicae_Trinity	Strongwellsea_castrans_DrSc_Trinity	Zoophthora_radicans_ATCC_208865
HpcH_HpaI	PF03328.16	2	3	2	1	2	4	2	2	2	4	3	1	3	2	1	1	3	3	1	2	2	4	0	0	0	0	2	1	1
FAD-oxidase_C	PF02913.21	3	4	1	2	2	1	3	3	3	1	2	2	2	1	2	1	1	1	2	1	1	2	1	2	1	1	4	3	1
SF1-HH	PF16275.7	1	1	2	1	0	4	2	1	1	3	4	1	1	0	1	0	2	2	0	2	2	3	2	4	5	2	3	2	2
Peptidase_C54	PF03416.21	0	2	1	1	3	2	2	1	1	2	3	1	2	1	1	0	2	2	1	1	1	1	1	8	2	1	6	4	1
Enolase_C	PF00113.24	2	3	1	1	2	2	1	2	2	2	3	1	3	1	1	2	3	3	1	1	1	1	1	4	1	1	4	3	1
Semialdhyde_dhC	PF02774.20	1	2	1	2	2	2	3	2	2	4	3	2	3	1	2	1	2	2	1	1	1	1	1	4	1	1	2	2	2
Ribosomal_L35Ae	PF01247.20	6	8	1	1	1	0	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	2	1	4	3	1
Mt_ATP-synt_B	PF05405.16	2	2	1	2	1	1	4	2	2	1	2	2	3	1	2	0	2	2	3	1	1	2	1	6	1	1	2	3	1
Sin3a_C	PF16879.7	1	2	1	1	1	1	3	4	4	2	2	1	2	0	1	1	2	2	1	1	1	2	2	4	1	1	5	3	2
Ribosomal_L15e	PF00827.19	4	3	1	1	1	1	2	3	3	1	2	1	2	2	1	1	2	2	1	1	1	1	1	4	2	1	5	3	1
Fcf2	PF08698.13	1	1	1	1	1	2	2	1	1	2	2	1	2	1	1	1	1	1	0	1	1	2	1	14	4	2	3	2	1
tRNA_Me_trans	PF03054.18	2	1	1	1	1	2	1	1	1	3	1	1	1	2	1	0	1	1	1	1	2	1	1	4	14	1	3	3	1
Fe_hyd_lg_C	PF02906.16	0	1	1	1	1	1	1	1	2	2	2	1	2	1	2	0	1	1	1	1	1	2	1	14	2	1	6	2	2
Nucleoporin_C	PF03177.16	2	5	1	0	0	0	1	4	2	2	0	1	1	1	1	2	2	2	2	0	1	0	2	10	2	1	4	3	2
TFIIF_beta	PF02270.17	1	1	1	1	1	2	2	2	2	1	3	1	2	0	1	1	1	1	2	1	1	2	1	10	2	1	7	2	1
Ribonuc_red_lgC	PF02867.17	3	2	1	1	1	2	2	3	3	2	2	1	4	1	1	1	2	2	1	1	1	3	1	2	0	1	7	2	1
Abhydro_lipase	PF04083.18	1	2	1	1	1	1	2	2	2	1	1	1	1	1	1	0	2	2	0	1	1	2	1	4	1	1	9	10	1
Ribosomal_L31e	PF01198.21	3	5	1	1	1	2	2	3	3	1	2	1	2	0	1	1	2	2	1	1	1	1	1	6	1	2	3	3	1
zf-A20	PF01754.18	1	0	2	1	1	4	2	2	0	2	1	1	1	1	1	0	2	2	0	1	2	1	2	6	2	2	6	6	2
Peptidase_S37	PF05576.13	0	0	1	4	1	1	5	0	0	2	1	2	6	0	3	2	0	0	3	0	0	0	1	10	6	3	0	1	2
EST1_DNA_bind	PF10373.11	2	4	0	2	1	0	4	2	2	2	0	2	4	0	2	0	2	2	2	0	0	0	1	6	1	1	6	4	1
ELFV_dehydrog_N	PF02812.20	0	15	1	1	1	1	2	1	1	3	1	1	2	2	1	0	2	2	0	1	1	1	1	4	1	1	3	2	1
LUC7	PF03194.17	2	2	1	1	2	2	2	1	1	2	2	1	2	1	1	1	2	2	1	1	1	1	1	8	1	1	6	3	1
PRKCSH_1	PF13015.8	1	1	1	1	2	1	4	1	1	1	2	2	4	1	1	0	2	2	1	1	1	1	2	6	3	1	5	3	1
SART-1	PF03343.15	1	1	1	1	3	2	2	1	1	4	2	1	3	1	1	2	1	1	1	1	1	2	1	4	1	1	6	5	1
Helicase_RecD	PF05127.16	2	1	1	1	2	2	2	1	1	2	3	1	2	1	1	2	3	3	0	1	1	1	1	6	2	3	3	3	1
Ribosomal_L18A	PF01775.19	5	5	1	1	1	1	2	3	3	2	2	1	2	1	1	0	1	2	1	1	1	1	1	4	1	1	5	2	1
THOC2_N	PF16134.7	0	1	2	1	1	2	2	1	1	2	2	2	3	2	1	1	2	2	1	1	1	3	3	6	1	3	4	1	1
Fuz_longin_2	PF19037.2	2	3	1	1	1	2	2	1	1	2	2	1	2	1	1	0	2	2	1	1	1	2	1	10	1	1	3	4	1
Peptidase_A22B	PF04258.15	1	1	1	1	2	3	3	2	2	2	2	1	2	2	1	0	3	2	1	1	1	3	1	6	1	1	3	3	1
BK_channel_a	PF03493.20	1	4	1	0	0	2	0	2	2	2	2	0	0	1	0	3	2	2	0	1	1	1	1	4	1	1	15	3	1
FRB_dom	PF08771.13	1	1	1	1	2	2	5	1	1	1	2	2	4	0	3	1	3	3	3	1	1	2	1	4	0	2	2	2	1
GBBH-like_N	PF06155.14	1	4	2	2	1	3	3	2	2	3	1	1	4	2	2	0	2	2	2	2	2	4	0	2	1	1	0	2	0
RRN3	PF05327.13	1	1	1	1	2	1	2	1	1	2	2	1	3	2	1	1	2	2	3	1	1	4	1	8	2	1	2	2	1
Rab3-GTPase_cat	PF13890.8	1	1	2	1	1	2	1	1	1	2	2	1	2	2	1	1	2	2	1	1	1	2	1	6	4	1	7	2	1
SCAI	PF12070.10	2	1	1	1	1	4	1	1	1	3	2	2	2	1	1	2	1	1	2	1	1	2	1	4	3	1	5	4	1
Cytochrom_C1	PF02167.17	1	3	1	1	1	1	2	2	2	2	1	1	1	2	1	0	2	2	1	1	1	2	1	6	1	1	6	4	3
Ribosomal_S19e	PF01090.21	3	5	1	1	1	2	3	2	2	1	2	1	1	0	1	1	2	2	0	1	1	1	1	6	1	1	6	3	1
UPF0183	PF03676.16	2	3	2	1	1	2	1	2	2	2	1	1	2	2	1	2	1	1	1	2	1	2	2	4	2	2	3	3	2
ChaC	PF04752.14	0	2	1	1	2	2	5	2	1	2	1	1	3	0	1	1	2	2	1	1	1	2	1	8	1	1	3	3	2
I_LWEQ	PF01608.19	3	4	1	1	1	2	2	1	1	2	1	1	2	1	1	1	2	2	1	1	1	1	1	4	1	1	9	3	1
Ldl_recept_b	PF00058.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	9	0
PK_C	PF02887.18	2	6	1	1	1	2	2	3	3	1	2	1	2	1	1	1	2	2	1	1	1	2	1	2	0	1	5	3	2
Indigoidine_A	PF04227.14	1	0	1	1	3	4	3	2	1	4	5	1	4	1	1	1	2	2	1	2	2	4	0	0	0	0	6	1	0
DFP	PF04127.17	1	1	1	2	1	2	2	2	2	2	1	1	1	1	1	1	2	2	1	1	1	2	2	6	4	2	4	2	2
UPF0016	PF01169.21	0	2	2	2	2	1	4	2	2	1	4	2	4	2	2	0	4	4	2	2	1	4	0	0	0	0	2	2	0
NPL4	PF05021.17	1	2	1	1	1	2	2	1	1	2	2	1	2	2	1	1	1	1	1	1	1	2	1	4	2	1	12	2	1
Rav1p_C	PF12234.10	1	1	1	1	1	1	3	1	1	2	2	1	2	2	1	1	1	1	1	2	1	1	2	10	2	1	5	3	1
DTW	PF03942.17	0	3	1	1	2	1	2	1	1	2	2	1	2	0	1	1	1	1	0	1	1	1	2	8	7	2	4	3	1
Mpp10	PF04006.14	1	1	1	1	2	1	2	1	1	1	2	1	3	2	1	0	2	2	1	1	1	2	1	6	5	2	4	4	1
Ribosomal_L26	PF16906.7	5	6	1	1	1	2	3	3	2	1	2	1	2	0	1	0	1	1	1	1	1	2	1	4	2	1	3	3	1
Tho2	PF11262.10	0	1	2	1	0	4	2	1	1	2	2	2	3	2	1	1	2	2	1	1	1	3	3	6	2	3	2	1	1
Ribosomal_S25	PF03297.17	5	5	1	1	1	1	3	2	3	1	2	1	2	1	1	0	2	2	0	1	1	1	1	4	1	1	4	3	1
zinc_ribbon_16	PF17034.7	0	1	1	2	1	1	8	1	1	2	3	2	4	1	2	1	2	2	0	1	1	1	0	4	1	1	4	3	1
Itfg2	PF15907.7	0	2	1	3	3	2	2	2	1	4	3	2	2	1	2	0	0	0	3	1	1	2	1	8	2	1	3	0	0
ADIP	PF11559.10	1	1	1	1	1	1	2	0	1	0	2	1	2	1	1	0	2	2	2	1	1	2	2	10	3	2	5	2	2
Fer2_2	PF01799.22	1	5	0	1	1	0	3	0	0	0	0	1	2	0	1	3	3	3	1	0	0	0	2	10	3	2	5	4	1
RS4NT	PF08071.14	5	8	1	1	0	2	2	2	2	2	1	1	2	1	1	1	2	2	1	0	1	1	3	2	2	1	2	2	1
PigN	PF04987.16	1	1	0	0	0	3	2	2	2	2	3	1	1	0	2	1	1	1	0	1	1	1	1	12	6	1	3	2	1
Topoisom_I	PF01028.22	1	1	1	2	3	2	2	1	1	2	2	2	3	1	2	1	2	2	2	1	1	2	1	6	2	1	2	2	1
Ribosomal_L36e	PF01158.20	4	6	1	1	1	2	4	2	1	1	2	1	1	1	1	0	2	2	1	1	1	1	1	6	1	1	2	3	1
Glycolytic	PF00274.21	0	0	1	1	1	2	2	0	0	3	2	1	3	2	1	1	2	2	1	1	1	1	2	6	1	1	9	4	1
Pescadillo_N	PF06732.13	1	1	1	1	1	1	2	1	1	3	2	1	2	1	1	1	2	2	1	1	1	2	1	12	2	1	3	2	1
DUF2034	PF10356.11	2	2	2	2	0	2	1	1	0	2	2	2	3	0	2	0	1	2	2	2	2	4	1	4	6	1	1	1	2
PMI_typeI	PF01238.23	1	2	1	0	1	2	2	1	1	2	2	1	2	1	1	1	2	2	2	1	1	1	1	12	3	1	2	2	1
2OG-FeII_Oxy_3	PF13640.8	3	5	1	1	1	1	2	2	2	2	1	1	1	1	1	0	1	1	1	1	1	2	1	4	2	1	5	6	1
Vps26	PF03643.17	2	2	1	1	1	1	2	1	1	2	2	2	4	1	1	1	2	2	1	1	1	2	1	6	0	1	3	5	2
FANCL_C	PF11793.10	0	2	2	1	0	1	0	0	1	2	1	1	0	2	0	1	1	3	1	1	1	2	1	8	12	2	1	3	2
Calsequestrin	PF01216.19	2	2	1	1	1	2	2	1	2	1	1	1	2	0	1	1	2	2	1	1	1	3	2	6	2	2	3	5	1
CoA_trans	PF01144.25	0	2	0	2	2	0	4	0	0	0	0	2	5	0	2	4	2	2	1	0	0	0	2	4	2	2	7	5	2
CoaE	PF01121.22	1	3	1	1	1	2	2	2	2	2	2	1	2	1	1	0	2	2	2	1	1	1	1	6	2	1	4	4	1
NAD_binding_5	PF07994.14	1	2	1	1	2	2	2	1	1	2	1	1	1	1	1	1	1	2	1	3	1	5	1	8	2	1	3	2	1
Vps16_C	PF04840.14	2	1	1	1	2	3	2	1	1	2	2	1	2	1	1	1	2	1	1	1	1	2	1	8	1	1	6	2	1
CAF1A	PF12253.10	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	10	4	1	5	2	1
ProRS-C_1	PF09180.13	1	2	1	1	1	2	2	1	1	2	1	1	1	1	1	1	2	2	1	1	1	2	2	8	6	2	2	2	1
Bystin	PF05291.13	1	2	1	1	1	2	2	2	2	3	2	1	2	1	1	1	2	2	1	1	1	2	1	8	2	1	3	2	1
N2227	PF07942.14	1	1	0	2	2	2	3	2	2	1	2	2	5	0	2	0	2	2	2	1	1	2	1	4	3	1	3	2	1
RNA_pol_Rpb5_N	PF03871.16	2	2	1	2	1	1	2	1	1	2	2	1	3	0	2	1	2	2	1	1	1	2	2	8	2	1	2	2	2
COG4	PF08318.14	1	1	1	1	1	2	2	1	1	2	2	1	2	0	1	1	1	1	1	1	1	2	1	14	3	2	2	2	1
DUF1977	PF09320.13	1	4	1	1	1	2	2	2	2	2	2	1	2	1	1	1	2	2	0	1	1	2	1	4	2	1	5	3	2
ZT_dimer	PF16916.7	2	6	1	1	1	2	2	2	2	2	2	1	2	1	1	1	3	3	1	1	1	2	1	6	1	1	1	1	1
Rer1	PF03248.15	3	4	1	3	1	2	2	1	1	1	2	1	3	1	1	0	1	2	4	1	1	2	1	4	2	1	3	2	1
DAHP_synth_1	PF00793.22	5	3	1	1	1	2	2	4	4	3	2	1	2	1	1	1	1	1	0	1	1	2	1	6	1	1	1	1	1
RED_N	PF07808.15	1	1	1	0	0	2	3	1	1	1	2	1	0	1	1	0	1	1	0	1	1	2	1	4	18	1	2	3	1
Carb_kinase	PF01256.19	1	2	1	1	2	3	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	6	7	1	2	2	1
Biopterin_H	PF00351.23	2	2	1	1	1	3	2	1	1	2	1	1	1	1	1	2	2	2	0	2	2	3	1	6	1	2	3	4	1
N1221	PF07923.15	1	1	2	1	1	2	2	2	1	2	2	1	2	1	1	0	1	1	2	1	1	1	1	10	5	1	3	2	1
TRAPPC-Trs85	PF12739.9	1	1	1	1	2	2	2	1	1	3	2	1	2	2	1	0	2	2	1	1	1	2	1	8	2	1	5	2	1
Ribosomal_L6e	PF01159.21	5	5	1	1	1	2	2	2	2	1	2	1	1	0	1	1	2	2	0	1	1	1	1	4	1	2	4	3	1
mRNA_triPase	PF02940.17	0	1	1	1	1	1	4	1	1	4	2	1	1	1	2	0	2	2	2	1	1	2	1	8	3	1	4	1	1
AraC_binding	PF02311.21	1	4	0	1	1	1	2	2	2	1	3	2	1	0	1	1	2	2	1	1	1	2	1	8	5	0	2	2	1
Ribosomal_L18	PF17135.6	5	6	1	1	1	2	2	2	3	1	2	1	2	1	1	0	2	1	0	1	1	1	1	4	1	1	3	3	1
P5CR_dimer	PF14748.8	2	4	1	1	1	2	2	2	2	2	2	1	2	1	2	1	1	1	1	1	1	2	1	4	2	1	4	3	1
Fuz_longin_1	PF19036.2	1	3	1	1	1	2	2	1	1	2	2	1	2	1	1	0	2	2	1	1	1	2	1	10	1	1	3	3	1
Pro_dh	PF01619.20	1	2	1	1	1	1	5	2	2	1	1	2	4	0	2	2	3	3	1	1	1	1	1	4	2	1	2	2	1
DDE_1	PF03184.21	1	0	0	5	0	0	0	0	0	2	1	0	0	1	0	1	0	0	1	0	0	1	0	6	4	2	11	13	2
E1_UFD	PF09358.12	2	2	1	1	1	3	2	1	1	4	2	1	1	1	1	1	2	1	1	2	2	3	1	4	1	1	3	3	2
Fis1_TPR_C	PF14853.8	1	2	1	1	2	1	4	1	1	2	2	2	4	1	2	1	3	3	2	1	1	2	1	2	1	1	2	3	1
ATG16	PF08614.13	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	0	0	1	2	0	1	1	1	14	6	1	3	2	1
HORMA	PF02301.20	2	2	0	0	0	0	2	0	1	1	0	1	0	0	1	0	2	2	0	1	1	0	1	18	6	2	3	4	1
Exo_endo_phos_2	PF14529.8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	13	33	0
DBINO	PF13892.8	1	1	1	2	1	2	3	1	1	2	2	2	4	1	2	1	2	2	1	1	1	1	1	6	0	1	5	2	1
MMS19_N	PF14500.8	2	1	1	1	1	2	2	3	3	2	0	2	1	2	1	1	1	1	1	1	1	2	1	8	3	1	3	2	1
Mak10	PF04112.15	0	2	1	1	1	2	4	1	1	2	2	1	2	0	1	0	2	1	0	1	1	2	1	12	2	1	4	2	1
E1_FCCH	PF16190.7	0	2	1	1	1	4	2	1	1	4	1	1	2	1	1	1	2	1	0	2	2	4	1	4	2	1	3	3	2
Thg1	PF04446.14	1	1	1	1	1	2	1	1	1	2	1	1	3	1	1	1	2	2	1	1	1	2	1	8	5	1	3	2	2
IATP	PF04568.14	1	3	1	2	1	2	5	1	1	2	2	2	4	0	2	2	2	2	3	1	1	2	2	4	0	0	1	1	1
Stc1	PF12898.9	1	1	2	6	7	0	1	1	1	2	2	5	5	1	1	1	1	1	9	0	0	0	2	0	0	0	0	0	1
tRNA_U5-meth_tr	PF05958.13	1	1	1	1	1	1	5	2	3	2	1	1	3	1	2	1	1	1	1	1	1	2	1	4	4	1	4	2	1
CAS_CSE1	PF03378.17	1	2	1	2	3	2	2	1	1	2	2	1	2	1	1	2	3	2	3	1	1	1	1	6	1	1	2	2	1
Macro	PF01661.23	0	2	1	0	0	5	0	1	1	3	3	0	1	0	0	0	3	3	0	3	3	5	1	8	2	1	2	2	1
Glyco_transf_49	PF13896.8	5	8	0	0	0	0	0	15	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0
S-AdoMet_synt_M	PF02772.18	6	7	1	1	1	1	3	1	1	1	2	1	1	1	1	1	2	2	0	1	1	1	2	4	1	1	3	2	1
RecQ_Zn_bind	PF16124.7	1	4	0	3	0	0	2	0	0	0	1	0	0	0	0	0	0	1	1	2	0	0	2	10	11	2	6	4	1
Ribonuc_red_sm	PF00268.23	4	3	1	1	1	2	2	2	2	3	1	1	2	1	1	1	2	2	1	1	2	0	2	4	0	1	3	3	2
Asparaginase	PF00710.22	1	2	1	1	1	2	2	1	1	2	2	1	2	1	1	1	1	1	2	1	1	1	1	12	2	1	3	2	1
Misat_Tub_SegII	PF10644.11	3	1	2	1	1	2	1	1	2	2	1	1	1	0	0	1	2	1	1	1	1	2	1	10	3	1	4	3	1
ALS_ss_C	PF10369.11	2	2	2	1	1	2	2	1	2	2	2	1	2	2	1	0	2	2	1	1	1	2	3	6	1	1	2	2	2
PROCN	PF08083.13	1	1	2	1	1	4	4	1	1	3	2	1	2	0	1	2	3	3	1	1	2	2	1	4	0	1	3	2	1
DUF383	PF04063.16	1	1	1	0	1	2	2	1	1	2	2	1	2	1	1	1	2	2	3	1	1	2	1	6	7	1	2	2	1
Ribosomal_S24e	PF01282.21	5	5	1	1	0	2	3	3	2	2	2	1	2	0	1	0	2	2	1	1	1	1	1	2	1	1	4	3	1
Nup54	PF13874.8	1	1	1	0	0	2	1	2	2	2	1	1	2	1	1	1	2	2	1	1	1	2	2	6	4	2	4	3	2
Gp_dh_N	PF00044.26	3	5	1	1	1	1	2	3	3	0	1	1	2	1	1	0	2	2	1	1	1	2	1	4	1	2	4	2	2
Sterile	PF03015.21	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	10	4	4	17	11	0
Tfb2	PF03849.16	1	2	1	1	2	2	2	1	1	2	1	1	2	2	1	1	2	2	1	1	1	2	1	4	4	1	5	3	1
V-ATPase_H_N	PF03224.16	2	3	1	1	1	2	2	2	2	2	3	2	2	2	1	1	2	2	1	1	1	1	1	2	1	2	4	2	2
PMM	PF03332.15	0	1	1	1	1	2	2	1	1	2	3	1	2	2	1	0	2	2	2	1	1	1	1	10	4	1	2	2	1
RimK	PF08443.13	2	4	1	1	2	1	1	2	2	2	2	0	3	1	2	0	2	2	1	1	1	1	1	6	3	1	4	1	1
Helicase_PWI	PF18149.3	2	3	1	1	2	1	3	2	2	1	2	1	1	1	2	1	2	2	1	1	1	2	1	6	1	1	2	4	1
Arginase	PF00491.23	1	2	1	1	1	1	2	2	2	1	2	1	2	1	1	1	2	2	0	1	1	2	2	6	3	2	3	3	2
Fer4_8	PF13183.8	3	3	1	1	1	1	2	2	2	1	2	1	2	1	1	1	2	1	1	1	1	1	1	8	2	2	2	3	1
SRAP	PF02586.16	0	2	1	1	1	2	2	0	0	2	2	1	2	2	1	0	1	1	1	0	1	2	1	10	8	1	3	2	1
Rgp1	PF08737.12	0	1	1	1	2	3	2	1	1	3	2	1	2	2	1	1	3	2	1	1	1	2	1	4	2	1	5	3	1
Tcf25	PF04910.16	1	1	1	1	2	2	2	1	1	2	2	1	2	1	1	2	2	2	1	1	1	2	1	10	2	1	2	2	1
Pet127	PF08634.12	1	1	2	1	1	2	3	1	2	3	2	2	2	1	1	1	3	3	1	1	1	2	1	6	3	1	1	1	1
Pyrid_ox_like	PF16242.7	1	1	1	3	1	1	4	0	0	2	2	2	7	1	2	1	2	2	5	1	1	2	1	4	1	1	1	1	0
DAHP_synth_2	PF01474.18	3	2	1	1	3	2	2	1	1	2	1	2	3	0	1	6	2	2	2	1	1	1	1	4	1	1	2	1	1
HR1	PF02185.18	3	2	1	2	1	1	1	2	2	2	1	2	3	1	2	1	1	1	1	1	1	1	1	4	3	0	5	4	1
RTC	PF01137.23	0	2	1	1	1	1	2	1	1	2	3	1	2	1	1	1	2	2	2	1	1	3	1	8	1	1	3	3	2
Gamma_PGA_hydro	PF05908.13	0	0	1	4	6	4	3	0	0	0	0	8	5	0	1	0	0	0	13	2	2	2	0	0	0	0	0	0	0
DUF3759	PF12585.10	2	3	1	0	1	2	2	5	5	1	2	1	2	1	1	1	2	2	1	1	1	2	1	4	1	1	1	1	2
cwf21	PF08312.14	1	2	1	1	1	2	3	1	1	2	2	1	2	1	1	1	2	2	2	1	1	2	1	4	3	1	4	3	1
DNA_ligase_A_N	PF04675.16	0	2	1	1	1	2	3	2	2	2	2	2	1	1	1	0	1	1	1	1	1	1	1	4	1	1	9	4	1
zf-B_box	PF00643.26	0	1	1	0	0	4	2	1	0	3	3	1	2	0	1	0	1	2	0	2	2	2	1	4	2	2	11	1	1
Peptidase_S15	PF02129.20	0	8	0	1	1	1	2	2	3	0	1	1	2	0	1	0	2	1	0	0	0	0	0	4	9	1	7	2	1
TIM	PF00121.20	1	1	1	1	1	2	2	1	1	3	2	1	2	1	1	0	2	2	2	1	1	2	1	6	5	1	2	3	1
FAM72	PF14976.8	0	8	3	1	0	2	2	0	0	2	2	2	2	2	1	0	2	2	1	1	1	2	2	6	1	2	1	1	1
SERRATE_Ars2_N	PF12066.10	1	1	1	1	1	2	2	1	1	1	2	1	2	0	1	0	2	2	1	1	1	2	1	6	4	1	8	2	1
Dor1	PF04124.14	1	2	1	0	0	3	1	1	2	1	1	0	0	2	0	0	1	1	0	1	2	2	2	10	5	2	4	3	2
APG6_N	PF17675.3	1	1	1	1	1	2	2	1	1	1	2	1	2	1	1	1	1	1	0	1	1	1	1	12	2	1	6	2	1
IBB	PF01749.22	2	2	1	1	1	2	2	2	2	2	2	1	2	0	1	1	2	2	1	1	1	1	1	6	1	1	4	4	1
DUF3591	PF12157.10	1	1	1	1	0	1	3	1	1	2	2	1	2	2	1	1	1	1	1	1	1	2	2	6	5	1	3	4	1
GPCR_chapero_1	PF11904.10	1	5	1	0	1	2	4	0	0	2	2	2	4	0	2	2	1	1	4	1	1	1	2	2	1	1	5	2	0
Asparaginase_C	PF17763.3	1	2	1	1	1	2	2	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	12	2	1	3	2	1
Nop52	PF05997.14	1	2	1	3	3	2	2	1	1	2	2	1	2	1	1	1	2	2	4	1	1	1	1	4	1	1	3	2	1
Svf1_C	PF17187.6	2	4	0	4	4	0	5	1	1	0	0	4	4	0	1	0	2	2	5	0	0	0	1	4	2	1	1	1	1
AlaDh_PNT_C	PF01262.23	3	6	0	3	1	0	5	2	1	1	1	1	2	0	1	1	2	2	1	4	2	2	2	0	1	0	3	2	1
Cytochrome_CBB3	PF13442.8	2	4	1	1	1	1	2	1	1	2	2	1	2	1	1	2	2	2	1	1	1	1	1	4	5	1	2	3	1
S-AdoMet_synt_C	PF02773.18	5	6	1	1	1	1	3	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	2	4	1	1	3	2	1
MAGE	PF01454.21	1	1	1	1	1	2	2	1	1	2	1	2	1	1	2	0	1	1	2	1	1	2	1	12	3	0	3	2	1
Ribosomal_S17e	PF00833.20	3	6	1	1	2	0	2	2	2	1	2	1	2	0	1	1	2	2	1	1	1	1	1	4	1	1	4	3	1
Ric8	PF10165.11	1	1	1	1	1	3	2	1	1	2	2	1	2	1	1	0	1	1	1	1	1	1	1	6	8	1	3	2	2
Ribosomal_L23eN	PF03939.15	4	5	1	1	1	1	2	3	3	1	2	1	2	1	1	0	2	2	0	1	1	1	1	4	1	1	3	3	1
Ribosomal_L14e	PF01929.19	3	4	1	1	1	1	2	2	2	1	2	1	2	0	1	1	2	2	2	1	1	2	1	4	2	1	3	3	1
DUF2415	PF10313.11	0	2	2	1	0	1	2	2	2	1	2	1	2	2	1	0	3	3	1	1	1	2	1	10	3	1	1	1	1
Trp_syntA	PF00290.22	4	2	1	3	2	2	3	1	1	2	2	1	3	1	1	1	2	2	2	1	1	2	2	2	2	1	1	1	1
Ald_Xan_dh_C	PF01315.24	2	5	0	1	0	0	3	0	0	0	0	1	2	0	1	2	3	3	1	0	0	0	2	10	2	2	5	4	1
Gcd10p	PF04189.15	2	1	2	1	0	2	2	1	1	2	2	1	3	1	1	2	1	1	1	1	1	1	3	6	4	1	2	3	1
Lung_7-TM_R	PF06814.15	1	4	1	1	1	2	2	3	2	2	1	1	2	1	1	1	2	2	2	1	1	1	1	4	1	1	2	5	1
DNA_ligase_A_C	PF04679.17	0	2	1	1	1	2	3	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	4	2	1	7	4	1
TSP1_ADAMTS	PF19030.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	15	0
eIF-5a	PF01287.22	2	2	1	2	1	2	4	1	1	1	2	3	3	0	2	1	1	1	1	1	1	1	1	4	0	1	5	3	2
SWIRM-assoc_2	PF16496.7	2	2	1	1	1	2	2	3	3	2	2	1	2	1	1	1	2	2	2	1	1	2	1	4	2	1	2	2	1
Ndc80_HEC	PF03801.15	1	3	1	1	1	2	1	1	1	2	2	1	2	1	1	0	1	1	1	1	1	2	2	14	2	1	1	1	1
vATP-synt_AC39	PF01992.18	1	3	1	1	1	3	2	1	1	2	2	1	2	1	2	2	2	2	1	4	1	2	1	2	1	1	2	4	1
Acetyltransf_5	PF13444.8	0	6	1	2	1	0	2	0	0	2	3	4	1	1	2	1	1	1	3	0	0	1	1	4	4	1	0	1	7
Syntaxin_2	PF14523.8	2	3	1	1	1	1	4	2	2	1	2	2	1	0	1	1	2	2	1	1	1	1	1	2	1	1	6	5	1
Proton_antipo_M	PF00361.22	0	1	3	0	2	2	0	0	0	2	4	2	2	1	2	0	3	0	2	0	4	3	0	0	5	2	8	2	0
NAD_binding_11	PF14833.8	2	2	1	1	1	1	2	2	2	2	2	1	1	0	1	1	2	2	1	1	1	1	1	8	2	1	4	3	1
APG6	PF04111.14	1	1	1	1	1	2	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	12	2	1	4	2	1
TruD	PF01142.20	1	3	1	1	1	2	3	1	1	2	1	2	2	0	1	1	1	1	3	1	1	2	1	8	1	1	3	2	1
eIF_4EBP	PF05456.13	2	5	1	1	1	1	2	1	1	1	2	1	2	1	1	1	2	2	2	1	1	1	1	4	1	1	4	3	2
RNA_pol	PF00940.21	1	2	1	1	1	1	2	1	1	4	2	1	2	1	2	1	2	2	2	1	1	4	1	2	2	1	4	2	1
