DOMAIN	ACCESSION	Basidiobolus_heterosporus_B8920	Basidiobolus_meristosporus_CBS_931	Basidiobolus_ranarum_AG-B5	Conidiobolus_antarcticus__ARSEF_6913	Conidiobolus_coronatus_NRRL_28638	Conidiobolus_firmipilleus__ARSEF_2731	Conidiobolus_heterosporus__ARSEF_6386	Conidiobolus_incongruus_B7586	Conidiobolus_incongruus__NRRL_3022	Conidiobolus_incongruus__NRRL_3023	Conidiobolus_lamprauges__ARSEF_2338	Conidiobolus_lamprauges__NRRL_1229	Conidiobolus_megalotocus__ARSEF_8428	Conidiobolus_megalotocus__NRRL_3011	Conidiobolus_osmodes__ARSEF_79	Conidiobolus_polytocus__NRRL_1231	Conidiobolus_pumilus__ARSEF_6383	Conidiobolus_rhysosporus__ARSEF_448	Conidiobolus_rhysosporus__NRRL_1225	Conidiobolus_sp___NRRL_29146	Conidiobolus_thromboides_FSU_785	Conidiobolus_thromboides__ARSEF_4968	Conidiobolus_thromboides__NRRL_1224	Entomophaga_maimaiga_ARSEF_7190	Entomophthora_muscae_UCB	Entomophthora_muscae_UCB_Trinity	Entomophthora_muscae_isoH_Trinity	Pandora_formicae_Trinity	Strongwellsea_castrans_DrSc_Trinity	Zoophthora_radicans_ATCC_208865
Ribosomal_L10	PF00466.23	4	6	6	3	3	3	4	6	3	4	5	4	3	4	3	3	2	5	4	3	3	3	5	6	8	3	3	5	6	6
VWA_2	PF13519.9	2	4	6	3	1	2	2	5	2	2	6	4	2	5	2	2	1	5	6	3	2	2	3	7	10	10	2	10	8	6
PC_rep	PF01851.25	2	2	3	1	2	2	3	4	2	2	4	4	2	2	1	2	0	4	4	1	2	2	3	4	9	3	3	5	4	4
ALMT	PF11744.11	3	9	10	2	1	1	6	3	11	10	6	7	1	2	0	3	2	3	5	0	3	4	7	4	6	4	2	2	2	4
GHMP_kinases_C	PF08544.16	5	8	7	3	2	2	5	3	4	4	5	4	3	3	3	2	3	2	2	3	3	2	4	6	10	3	3	9	6	6
ABC_tran_Xtn	PF12848.10	3	4	3	5	3	3	4	9	1	1	7	4	3	3	2	3	2	2	5	2	3	3	4	6	14	2	3	7	6	8
RuvB_N	PF05496.15	3	6	12	1	3	4	6	5	5	4	2	5	4	6	1	3	1	1	1	4	3	3	5	5	8	1	2	5	5	6
TRAPPC9-Trs120	PF08626.14	0	1	2	3	1	1	4	2	2	2	2	2	1	2	2	1	1	3	2	3	1	1	5	4	6	11	1	5	3	2
SAD_SRA	PF02182.20	1	1	1	6	3	3	2	4	1	1	7	4	3	7	3	4	3	4	4	7	0	0	4	16	9	3	3	4	3	14
FMO-like	PF00743.22	4	8	6	0	8	3	0	13	6	4	0	0	9	14	0	6	0	0	0	13	0	0	0	0	0	0	0	6	3	0
Sulfatase	PF00884.26	5	6	5	0	2	3	7	4	1	1	6	3	5	7	0	1	1	5	4	6	5	5	7	0	0	0	0	25	10	0
ArgoL1	PF08699.13	2	3	3	3	1	3	4	3	2	2	3	4	4	4	3	1	2	3	3	7	2	2	2	14	18	8	4	5	3	6
Laminin_EGF	PF00053.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	5	0
UMPH-1	PF05822.15	0	0	0	1	0	0	1	0	1	1	6	1	0	0	3	0	3	4	4	0	2	2	4	15	35	11	9	7	5	8
SIS	PF01380.25	5	7	13	1	3	1	2	2	2	2	4	0	1	2	0	1	0	2	2	1	1	1	1	2	2	1	1	4	4	6
Phosducin	PF02114.19	2	3	2	3	1	2	6	5	3	3	6	7	3	3	2	2	1	2	2	2	3	4	6	6	16	5	4	5	7	6
zf-MYST	PF17772.4	1	3	4	2	3	2	3	4	5	4	4	6	3	5	2	3	2	3	3	3	3	2	5	4	9	5	2	15	7	6
Gal_mutarotas_2	PF13802.9	4	6	6	2	1	2	5	8	1	2	6	7	5	2	1	3	2	6	6	1	3	3	3	4	14	3	2	5	2	8
BIG2_C	PF20252.1	3	3	2	3	2	2	6	2	1	1	5	6	2	4	2	2	1	6	6	1	3	3	6	8	12	6	4	6	5	10
AAA_25	PF13481.9	2	1	7	4	1	1	5	5	4	6	5	5	2	4	2	3	1	4	4	3	1	3	5	6	10	7	3	8	4	7
BolA	PF01722.21	2	3	5	3	1	3	5	6	3	3	6	6	1	6	1	3	0	4	5	5	3	3	5	6	15	4	2	5	3	6
CBM_14	PF01607.27	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	42	0
Rua1_C	PF14616.9	1	4	4	3	5	4	6	5	2	3	5	8	4	7	3	4	2	6	6	2	3	3	5	6	2	2	2	3	3	9
CDH-cyt	PF16010.8	0	0	1	2	4	4	8	9	0	0	9	5	4	4	2	2	1	6	4	6	5	5	8	10	8	2	2	3	2	6
ADH_N_2	PF16884.8	4	8	13	6	0	0	2	5	2	2	8	3	1	0	5	0	2	5	5	0	7	6	2	6	10	2	2	3	3	10
DUF4097	PF13349.9	0	1	0	4	2	2	7	4	3	1	3	6	2	4	2	3	4	9	9	6	4	4	7	2	2	1	1	1	3	2
DUF5923	PF19343.2	7	8	7	2	1	1	5	4	2	2	4	5	2	2	1	1	1	2	2	2	3	3	4	4	6	7	3	6	5	4
DEAD_2	PF06733.18	1	2	2	3	2	3	3	5	3	3	3	5	2	3	3	3	2	2	2	3	2	2	4	15	9	8	2	7	7	6
PI4K_N	PF19274.2	1	2	1	1	1	2	2	2	2	2	2	2	1	2	1	1	2	1	1	2	1	1	2	2	5	1	1	4	2	2
Fer4	PF00037.30	2	1	3	3	1	2	2	4	2	2	3	3	2	2	1	2	2	4	4	2	1	2	2	6	8	0	2	6	4	3
Alpha_adaptinC2	PF02883.23	3	4	3	3	4	2	3	7	4	4	4	5	4	6	0	4	2	6	6	1	2	2	3	6	8	2	2	9	6	5
PEX11	PF05648.17	5	6	5	2	3	3	3	6	3	3	4	4	3	6	2	3	2	4	4	5	2	2	4	4	10	2	2	7	5	6
Ecl1	PF12855.10	0	12	12	3	2	1	8	5	5	5	3	5	2	3	3	2	2	4	3	2	4	4	8	4	6	0	1	5	1	5
E3_binding	PF02817.20	4	3	4	2	3	2	5	6	5	4	4	4	3	3	2	4	1	4	4	3	3	3	5	6	8	5	3	7	4	6
Nuc_sug_transp	PF04142.18	4	10	10	1	3	3	1	6	5	4	2	1	2	6	0	3	3	1	1	5	1	1	1	6	14	6	3	5	3	4
Pirin	PF02678.19	2	7	4	4	2	2	9	7	2	3	7	8	4	2	3	5	1	7	7	3	6	4	6	4	0	0	1	2	2	4
RMMBL	PF07521.15	2	3	4	2	5	2	5	5	3	3	6	3	3	3	2	3	2	2	3	9	2	2	3	6	9	4	2	9	6	6
Amidohydro_3	PF07969.14	3	6	3	2	0	0	9	3	5	4	4	4	3	0	1	0	2	4	4	0	6	7	10	4	13	4	3	5	5	4
Glyco_transf_20	PF00982.24	5	8	6	2	2	3	4	3	5	5	4	3	2	4	3	2	1	4	4	2	2	2	5	4	10	2	3	6	4	7
Ty3_capsid	PF19259.2	0	0	0	0	0	3	0	6	0	0	0	0	3	3	0	1	22	0	0	2	0	0	0	5	35	25	3	0	2	9
ACPS	PF01648.23	3	6	6	2	2	1	4	4	2	2	5	2	2	3	3	3	1	5	4	3	3	3	4	7	16	3	3	6	4	7
Yippee-Mis18	PF03226.17	0	4	5	2	4	4	5	5	1	1	4	3	3	6	1	4	1	2	0	6	4	3	4	6	12	6	2	8	7	6
HlyIII	PF03006.23	2	6	7	1	2	2	2	5	5	4	2	2	4	4	2	2	1	2	2	1	1	1	2	6	18	6	3	9	7	4
Rap_GAP	PF02145.18	2	4	8	2	3	3	4	5	5	6	4	4	3	5	2	3	1	3	3	2	2	2	3	4	6	4	2	14	5	4
Glyco_hydro_3_C	PF01915.25	1	1	0	2	2	2	4	6	5	5	2	2	1	5	2	3	0	3	3	4	2	2	3	8	17	6	4	2	6	16
MutS_I	PF01624.23	1	4	4	2	2	1	6	3	4	4	6	6	2	4	2	2	3	3	3	2	3	3	5	6	15	7	3	3	4	6
Sas10_Utp3	PF04000.18	2	3	3	2	2	3	6	5	3	3	5	4	2	6	2	3	0	3	3	4	3	3	5	6	10	3	3	13	5	4
1-cysPrx_C	PF10417.12	4	12	9	2	2	2	4	4	4	4	2	5	2	4	2	2	2	3	4	2	3	3	5	4	8	2	1	6	7	4
Opi1	PF08618.13	2	3	4	1	0	2	2	2	3	3	2	2	1	2	1	1	1	2	2	1	1	1	2	2	6	1	1	2	1	4
SUN	PF03856.16	0	0	0	5	3	4	9	4	0	0	6	10	4	5	5	3	4	8	7	2	5	5	7	6	4	0	1	2	2	5
TGS	PF02824.24	2	4	4	3	2	2	5	4	3	3	4	4	2	4	2	2	2	6	6	2	3	3	3	6	10	3	3	7	7	7
EcKL	PF02958.23	2	2	3	0	1	1	2	0	2	2	0	2	1	0	1	0	0	0	0	0	1	1	2	0	6	9	1	23	56	0
PS_Dcarbxylase	PF02666.18	3	5	3	2	2	2	5	3	4	4	4	4	2	1	2	2	1	3	3	2	2	2	4	8	10	4	3	7	4	6
Y_phosphatase3	PF13350.9	1	5	7	2	1	1	6	4	3	4	5	5	2	4	2	2	2	3	2	1	3	3	4	6	13	12	2	4	4	4
Na_sulph_symp	PF00939.22	3	3	3	2	1	2	4	3	5	5	4	3	2	3	3	2	2	5	5	1	2	2	3	7	11	8	2	9	5	4
Ribonuc_L-PSP	PF01042.24	4	6	8	2	2	2	4	6	4	4	3	4	3	6	2	3	2	5	5	2	2	2	3	4	9	2	2	4	3	2
ACAS_N	PF16177.8	2	5	4	1	4	1	3	6	5	5	4	4	4	8	1	2	2	2	2	5	2	2	4	4	5	1	2	15	4	8
Drf_GBD	PF06371.16	5	8	8	2	2	1	2	4	7	7	3	4	2	3	2	2	2	4	4	2	2	2	4	4	8	2	1	8	6	4
tRNA-synt_2c	PF01411.22	3	2	4	2	2	3	4	4	2	2	6	5	2	6	2	4	3	4	3	5	2	2	5	4	10	4	2	6	5	4
Histone_H2A_C	PF16211.8	4	4	5	2	2	1	2	4	4	3	2	2	2	4	2	2	1	1	2	2	1	1	1	10	26	1	4	7	3	12
AAA_15	PF13175.9	0	1	3	3	3	0	6	4	5	3	4	4	5	7	1	2	1	4	3	2	3	5	5	6	11	7	3	5	6	5
Met_10	PF02475.19	1	4	5	4	3	3	6	4	3	3	3	5	3	4	1	3	1	2	2	2	3	3	3	6	14	8	3	8	4	2
ArgoN	PF16486.8	2	3	1	2	2	2	4	2	2	2	3	4	3	3	2	1	2	3	3	7	2	2	2	11	18	8	4	6	4	6
Sec10	PF07393.14	2	3	4	2	2	2	4	6	2	2	4	4	2	5	4	2	2	3	3	3	2	2	5	4	12	6	2	6	3	4
TatD_DNase	PF01026.24	2	5	5	2	2	2	4	4	2	2	4	3	2	3	1	2	0	2	2	2	2	2	3	6	21	15	2	3	5	4
Catalase-rel	PF06628.15	7	12	5	2	1	1	6	3	5	5	6	3	2	2	2	1	2	4	4	1	3	3	5	4	6	1	2	7	5	6
Ketoacyl-synt_C	PF02801.25	4	6	4	3	3	2	3	5	2	2	4	2	2	4	0	3	2	3	5	2	2	2	3	5	11	7	3	9	7	6
SDF	PF00375.21	6	9	9	2	5	4	2	3	1	1	2	2	2	6	2	3	1	3	3	4	1	1	3	2	12	9	1	8	3	4
Ribosom_S12_S23	PF00164.28	4	10	10	2	3	3	3	9	4	4	3	4	3	3	2	3	1	4	4	1	2	2	3	4	6	1	2	7	5	4
BRO1	PF03097.21	2	4	5	2	3	4	4	4	4	4	4	3	3	5	2	3	0	4	3	3	2	2	2	4	14	4	2	9	6	4
6PF2K	PF01591.21	6	8	12	2	2	2	2	4	6	6	4	4	2	3	1	2	1	4	4	3	2	2	4	4	8	4	2	4	3	4
MaoC_dehydratas	PF01575.22	3	6	6	3	2	3	3	4	4	4	3	2	2	3	3	5	1	4	5	2	2	2	3	6	12	4	4	5	3	6
Pex24p	PF06398.14	0	3	4	3	1	1	4	5	3	3	2	4	2	4	1	1	0	2	2	2	2	2	2	8	21	7	3	12	5	6
Lys_Orn_oxgnase	PF13434.9	5	7	6	2	7	2	0	16	5	4	1	0	11	16	0	6	0	0	0	13	0	0	0	0	4	4	1	0	3	2
Glyco_transf_8	PF01501.23	1	3	4	3	2	2	2	8	4	4	5	3	3	5	2	3	1	2	2	2	2	1	4	6	8	6	2	8	6	8
Diphthamide_syn	PF01866.20	1	2	3	2	2	2	4	4	2	2	3	5	4	4	2	3	2	2	2	3	2	2	2	4	16	14	2	6	5	8
OTU	PF02338.22	1	3	2	3	2	1	1	5	3	2	5	5	1	2	3	3	1	2	2	3	2	1	2	4	19	9	2	11	8	6
Na_H_antiporter	PF03553.17	0	0	0	3	3	4	4	6	0	0	4	6	3	5	1	4	3	6	5	4	3	3	3	6	16	5	4	4	4	6
Inositol_P	PF00459.28	2	2	2	2	1	3	3	5	2	2	4	3	2	4	3	2	3	2	2	3	2	2	4	6	10	9	3	10	8	5
PAPS_reduct	PF01507.22	2	5	3	2	2	2	3	5	2	2	4	4	2	2	0	2	0	3	3	1	2	2	4	2	11	4	2	2	2	2
CLPTM1	PF05602.15	2	2	2	2	2	3	4	6	1	1	4	4	4	4	2	2	2	3	4	4	2	2	3	4	13	16	2	5	4	4
PUA	PF01472.23	8	9	8	2	2	2	4	6	3	4	4	4	2	5	2	2	1	4	4	1	2	2	4	4	6	1	2	8	5	4
Ribosomal_L22	PF00237.22	4	8	9	2	1	2	3	5	4	4	4	4	2	2	0	2	0	4	4	2	2	2	3	4	14	5	2	8	5	4
KH_2	PF07650.20	7	10	11	3	1	1	2	4	3	3	4	6	2	3	3	2	1	3	3	1	2	2	3	2	11	1	2	8	6	4
XRN_N	PF03159.21	3	1	4	4	0	2	6	5	2	2	5	8	2	3	4	2	1	2	2	2	3	3	7	6	6	5	3	6	9	6
BAH	PF01426.21	1	3	5	1	3	2	2	2	1	1	3	4	2	8	1	1	2	4	3	0	1	1	3	6	12	4	3	9	9	4
tRNA-synt_1_2	PF13603.9	2	2	3	2	3	1	5	5	4	4	4	3	2	4	1	3	2	4	4	5	3	3	3	4	10	12	2	5	4	4
2-Hacid_dh	PF00389.33	3	7	12	1	3	2	3	3	4	4	3	3	2	4	0	2	1	3	3	3	2	2	4	4	4	11	2	8	7	4
IMS_C	PF11799.11	0	3	2	2	0	0	4	1	2	2	6	3	1	0	3	0	1	3	3	0	2	2	3	6	13	24	2	16	6	4
CwfJ_C_1	PF04677.18	3	3	5	1	3	3	3	6	4	4	4	3	3	7	1	3	2	4	4	5	3	3	4	4	6	6	2	4	5	6
Ribosomal_L3	PF00297.25	5	5	6	2	2	3	3	4	4	4	3	5	2	4	2	2	2	4	4	2	2	2	3	4	12	2	3	8	5	4
UBA_E1_SCCH	PF10585.12	2	3	6	1	2	3	6	4	2	2	5	4	2	4	2	2	2	3	2	2	3	3	6	4	10	2	2	5	4	7
SCP2	PF02036.20	2	3	2	2	4	3	4	6	3	3	3	4	3	8	0	6	1	1	1	4	2	2	2	4	2	1	1	5	6	2
STE	PF02200.19	2	4	6	3	3	2	3	6	3	3	6	5	3	6	2	3	1	4	4	2	3	3	5	6	12	3	2	0	2	6
Pro_CA	PF00484.22	3	7	10	2	1	1	4	2	1	1	4	3	1	2	2	1	1	3	3	1	2	2	4	4	11	7	2	7	5	16
ALO	PF04030.17	1	4	2	1	7	7	2	9	1	1	2	6	9	15	1	4	2	6	6	13	1	1	2	2	5	1	1	0	0	0
RrnaAD	PF00398.23	3	3	6	3	2	2	6	4	4	4	6	5	2	3	1	2	2	4	4	3	3	3	6	4	5	5	2	7	5	4
SWIRM	PF04433.20	2	5	6	1	4	4	4	7	10	10	2	4	4	6	1	4	2	3	3	5	2	2	4	2	4	2	1	4	3	2
tRNA-synt_His	PF13393.9	1	3	7	2	2	2	5	5	3	3	5	3	1	4	3	2	2	2	2	3	3	3	4	6	11	6	3	6	4	6
Abhydrolase_2	PF02230.19	1	2	4	2	4	5	3	7	2	2	8	3	2	3	4	2	1	1	1	7	2	2	4	4	11	8	2	6	5	4
ArgoMid	PF16487.8	2	3	3	2	0	2	4	2	2	2	4	3	4	2	0	1	2	3	3	5	2	2	2	14	18	8	5	4	3	6
Ribosomal_S5	PF00333.23	6	9	11	2	2	2	2	3	3	4	3	4	3	1	2	3	2	4	4	2	2	2	3	4	9	1	3	8	5	4
Isochorismatase	PF00857.23	4	18	14	2	1	1	2	2	5	5	2	2	1	2	1	1	1	2	2	1	1	1	2	5	13	7	2	5	4	4
UPF0020	PF01170.21	2	4	5	2	2	0	4	4	6	5	4	3	3	3	2	3	1	2	2	1	2	2	1	8	11	9	2	8	5	6
PseudoU_synth_1	PF01416.23	5	6	9	2	2	2	2	5	4	4	4	4	3	3	1	2	2	1	2	2	2	2	3	8	6	10	3	4	5	4
ERCC4	PF02732.18	3	3	3	2	2	1	4	3	3	3	4	3	2	3	0	2	2	2	2	3	2	2	3	6	17	15	2	4	3	8
Prok-JAB	PF14464.9	2	3	2	1	1	1	4	5	5	6	6	2	3	3	1	3	2	3	3	3	2	2	2	6	16	6	3	8	4	4
CBM_21	PF03370.16	4	7	5	4	1	1	4	3	4	5	3	6	1	2	3	1	2	4	4	1	3	3	6	4	8	2	2	10	3	6
BSD	PF03909.20	2	3	3	1	3	3	3	4	3	3	4	4	2	4	1	2	2	3	3	3	2	2	3	4	11	5	2	10	2	4
PLDc_2	PF13091.9	3	6	4	3	2	2	6	7	6	6	4	3	1	4	1	2	0	3	3	3	3	3	5	6	6	2	2	4	6	2
RF-1	PF00472.23	0	3	3	3	2	3	3	4	1	1	5	3	3	5	2	3	1	2	1	4	3	2	5	7	11	9	3	8	6	6
NAD_synthase	PF02540.20	1	4	4	3	2	1	4	5	2	3	6	4	2	4	2	2	2	3	3	2	3	3	5	4	9	6	2	9	6	6
His_biosynth	PF00977.24	1	2	3	3	2	2	6	5	2	2	4	5	2	3	2	2	2	4	4	3	3	3	6	6	14	5	3	4	3	6
DUF1752	PF08550.13	3	10	9	2	1	3	2	6	10	10	3	4	3	4	0	3	1	2	2	1	1	2	4	4	6	2	2	3	4	5
ABC_membrane_2	PF06472.18	3	3	5	3	2	2	6	4	4	4	5	5	3	5	2	2	3	4	4	2	3	3	5	4	9	2	2	4	4	4
TP_methylase	PF00590.23	2	5	4	3	3	3	4	5	3	3	5	4	3	6	3	3	2	3	3	2	3	3	5	2	14	6	2	2	3	2
PCMT	PF01135.22	5	6	7	2	3	3	3	4	5	4	3	6	2	4	3	2	0	3	3	2	2	2	4	2	6	3	1	14	4	2
zf-AD	PF07776.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	88	0
Glyco_hydro_15	PF00723.24	3	5	9	1	2	3	2	4	5	5	2	2	2	7	1	2	2	4	4	3	1	1	2	4	8	1	3	13	5	4
3HCDH_N	PF02737.21	2	3	3	2	2	2	5	5	2	2	3	6	2	4	2	2	2	4	4	2	3	3	5	4	14	2	2	6	8	4
Drf_FH3	PF06367.19	4	8	8	2	2	2	3	4	7	5	3	4	2	4	2	2	1	4	4	2	2	2	4	4	8	2	1	7	4	4
Sedlin_N	PF04628.16	1	3	4	3	2	2	4	4	3	3	5	6	2	4	3	2	1	3	2	0	3	3	6	6	10	5	3	6	6	6
MoCF_biosynth	PF00994.27	3	3	4	2	1	1	2	3	3	3	3	2	1	1	2	1	1	1	1	1	1	1	2	2	6	9	3	7	2	4
Thioesterase	PF00975.23	8	19	32	0	1	0	3	6	1	1	0	3	2	1	0	1	1	2	2	1	2	2	4	2	4	3	2	5	2	0
Ribosomal_S9	PF00380.22	5	7	11	2	2	2	3	4	4	4	3	2	2	4	2	2	1	4	4	3	2	2	3	4	8	3	2	5	5	4
Sybindin	PF04099.15	1	3	3	3	2	2	5	4	2	2	3	5	2	3	3	2	0	4	4	2	3	3	5	6	10	6	3	6	7	6
ATP_bind_3	PF01171.23	1	2	3	2	2	2	4	5	1	1	4	4	2	2	2	2	2	2	3	2	2	2	4	4	10	7	2	5	3	4
FMN_dh	PF01070.21	3	3	4	2	2	3	3	4	2	2	4	3	2	3	2	2	2	4	4	2	2	2	3	6	14	11	3	5	4	4
MIT	PF04212.21	3	5	8	2	2	1	2	4	5	4	2	4	2	4	0	2	2	4	3	1	2	2	3	6	9	4	2	10	6	4
Mcp5_PH	PF12814.10	2	2	3	3	2	2	2	4	4	4	4	4	1	4	1	2	3	5	5	2	1	1	2	8	12	3	4	6	7	7
FAA_hydrolase	PF01557.21	3	4	4	2	3	3	6	4	2	2	4	4	2	6	2	2	2	3	3	3	3	3	5	4	8	4	2	8	5	4
LETM1_RBD	PF07766.16	5	5	9	2	2	2	4	6	3	4	4	4	2	3	3	2	2	4	4	2	2	2	3	4	8	2	2	5	6	4
Questin_oxidase	PF14027.9	1	6	10	2	3	3	7	4	2	2	4	7	4	5	2	5	1	2	2	6	3	4	7	2	4	6	1	1	1	2
L51_S25_CI-B8	PF05047.19	2	5	6	3	1	2	6	6	3	3	5	6	2	6	2	3	1	5	5	4	2	3	3	6	6	1	1	3	4	4
SBDS	PF01172.21	2	6	5	2	4	4	4	6	2	2	4	3	2	8	0	3	1	3	3	5	2	2	3	6	11	3	2	3	4	4
GSHPx	PF00255.22	2	4	4	2	6	6	4	4	2	2	3	3	3	8	2	4	1	2	2	8	2	2	4	4	8	3	2	4	4	4
Alg6_Alg8	PF03155.18	1	2	2	2	2	4	3	4	2	2	4	4	2	4	1	2	2	3	4	5	3	2	5	6	9	5	2	6	4	4
TMEM33_Pom33	PF03661.16	3	4	5	2	2	1	3	6	2	2	3	3	3	3	4	3	0	2	2	1	3	2	6	6	16	9	3	3	3	4
Pyr_redox_dim	PF02852.25	6	12	6	2	2	2	3	4	4	4	5	4	2	3	2	3	3	4	4	2	2	2	2	4	6	2	2	4	4	4
Coatomer_WDAD	PF04053.17	3	5	4	2	2	3	5	5	2	2	5	5	2	4	3	2	2	6	4	2	2	2	3	6	8	4	2	4	4	4
Ribosomal_S5_C	PF03719.18	8	9	9	2	2	3	2	3	3	4	3	4	3	1	2	2	1	4	4	2	2	2	3	4	7	1	3	7	5	4
Ribosomal_S8e	PF01201.25	5	5	6	2	2	1	2	4	4	4	2	4	2	4	2	2	2	4	4	3	2	2	3	4	8	2	3	6	5	4
ANAPC3	PF12895.10	4	5	11	2	3	2	3	7	3	5	0	2	4	5	1	3	0	0	0	3	2	2	3	6	6	2	2	9	5	7
MOSC	PF03473.20	1	2	1	2	2	1	4	3	1	1	5	2	2	3	2	2	0	4	4	2	2	3	5	6	12	15	3	6	7	6
zf-U1	PF06220.15	0	3	4	1	3	2	4	4	2	1	4	3	2	4	0	2	1	4	4	5	2	2	5	7	14	9	3	5	4	4
COPIIcoated_ERV	PF07970.15	1	3	3	2	2	2	2	4	3	3	4	4	2	4	2	2	1	4	4	2	2	2	4	4	13	2	2	15	4	4
Helicase_C_2	PF13307.9	2	2	2	3	2	1	3	5	3	3	2	4	2	2	3	2	2	2	2	3	2	2	4	13	8	4	2	8	9	6
La	PF05383.20	2	5	6	2	1	0	4	8	4	4	3	4	4	4	1	2	3	3	3	1	1	2	5	3	6	3	2	6	8	8
Peptidase_M50	PF02163.25	1	4	6	1	2	1	0	4	2	3	1	3	3	1	1	0	1	4	4	2	1	0	1	2	8	7	2	26	7	4
MTHFR	PF02219.20	3	4	2	2	2	2	4	6	3	3	3	3	2	4	2	2	1	4	4	3	2	2	4	6	15	5	3	3	3	4
DER1	PF04511.18	1	2	3	3	3	2	4	6	2	2	4	6	5	5	1	2	1	4	4	2	3	2	4	4	10	6	2	5	5	4
SNF5	PF04855.15	2	2	4	2	2	2	5	4	3	3	4	4	2	4	2	2	1	4	4	3	2	2	5	4	9	4	2	3	3	4
Gln-synt_C	PF00120.27	3	6	5	2	2	2	3	8	6	6	3	2	4	1	2	2	1	4	4	2	2	2	3	4	10	4	2	4	4	4
Med26	PF08711.14	3	7	8	2	2	2	3	4	4	4	2	4	2	4	2	2	3	4	4	2	1	2	3	4	8	2	2	8	5	4
ApbA	PF02558.19	1	3	2	6	3	2	4	7	2	2	3	3	4	8	3	4	1	2	2	7	2	2	4	6	9	4	2	2	3	4
FGGY_C	PF02782.19	5	4	5	1	1	1	1	2	6	6	1	2	1	2	0	1	1	2	2	2	1	1	1	2	4	3	1	38	8	2
Ribosomal_S13	PF00416.25	5	7	8	2	2	2	2	6	5	4	2	4	2	4	2	2	2	4	4	2	2	2	3	4	6	1	3	5	4	4
Acyl-CoA_ox_N	PF14749.9	1	8	6	2	1	2	4	4	6	7	5	3	2	3	2	1	1	5	5	3	3	3	5	4	7	4	2	2	4	2
Putative_PNPOx	PF01243.23	2	2	3	2	5	3	3	5	1	1	4	3	4	10	2	3	2	4	4	6	2	2	3	6	8	7	2	3	3	2
Tropomyosin_1	PF12718.10	4	3	5	2	3	2	2	2	5	5	2	3	1	6	2	2	2	4	4	3	2	2	2	4	6	2	2	6	5	4
DLIC	PF05783.14	1	2	2	1	1	1	2	3	2	2	2	3	1	1	1	1	1	2	2	1	1	1	2	2	5	3	1	4	2	2
ELFV_dehydrog	PF00208.24	1	17	5	2	2	1	2	4	2	2	4	3	2	3	2	3	1	4	4	3	2	2	3	4	10	1	2	4	3	6
Sec2p	PF06428.14	3	7	6	1	1	1	2	2	6	5	1	2	1	2	1	1	2	6	7	1	1	1	1	8	10	6	3	4	4	10
STPPase_N	PF16891.8	6	7	8	2	2	1	3	4	6	5	2	3	2	3	2	2	3	3	4	2	2	2	3	4	7	0	2	5	5	6
CHCH	PF06747.16	4	3	2	1	2	2	6	3	5	4	4	7	3	4	1	2	0	5	5	1	4	4	6	2	8	2	1	5	4	6
TBP	PF00352.24	1	1	1	1	1	2	2	2	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	2	4	1	1	12	4	4
Metalloenzyme	PF01676.21	2	2	2	1	2	3	8	4	3	2	5	4	3	5	0	1	3	7	7	2	5	5	8	3	4	4	1	2	6	2
Ribosomal_S7	PF00177.24	7	10	10	2	2	2	2	4	4	3	2	4	2	3	1	2	1	4	4	1	2	2	3	4	6	1	2	6	5	4
ERG4_ERG24	PF01222.20	2	6	5	3	2	2	4	5	3	3	4	3	4	4	3	2	0	4	4	3	2	2	5	4	8	3	3	4	3	4
DNA_pol_A_exo1	PF01612.23	4	11	12	1	2	1	4	6	4	4	0	2	2	6	1	3	0	3	3	3	2	2	2	2	5	0	1	9	6	4
Peptidase_M17	PF00883.24	2	3	3	4	2	2	3	5	3	3	5	4	2	4	6	2	3	4	4	2	2	2	3	4	6	2	2	5	6	6
SPA	PF08616.13	0	2	2	2	3	2	4	6	3	4	3	5	3	3	2	3	1	5	4	2	3	3	4	3	8	4	2	10	5	4
Es2	PF09751.12	0	1	1	1	1	1	3	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	7	6	1	4	2	2
TsaD	PF00814.28	0	2	3	2	2	2	4	6	2	2	4	4	2	4	2	2	1	3	3	4	2	2	3	4	17	6	3	6	4	4
TauD	PF02668.19	6	14	19	2	2	2	4	3	6	6	4	2	3	2	2	2	1	3	3	3	2	2	4	0	4	2	1	0	1	0
BPL_LplA_LipB	PF03099.22	1	1	2	1	2	1	1	5	3	3	2	2	6	3	1	2	1	2	2	3	2	1	1	6	19	14	4	4	4	6
BAG	PF02179.19	0	6	5	2	2	2	3	4	5	5	4	4	2	4	2	2	2	3	3	3	2	2	4	5	11	5	2	3	3	4
CBM53	PF16760.8	4	7	5	4	1	0	4	3	3	4	3	6	1	2	2	1	2	4	4	1	3	3	5	4	8	2	2	8	2	6
